,FCLTY_NM,ITEM_NM,CTPRVN_NM,SIGNGU_NM,FCLTY_ADDR,FCLTY_DETAIL_ADDR,TEL_NO,COURSE_NM,x,y
0,밸리댄스코리아,댄스(줌바 등),서울,강남구,서울특별시 강남구 선릉로155길 12,비전빌딩 3층 밸리댄스코리아(신사동),,벨리댄스 (3개월등록시 50%할인),127.0388267,37.52559958
1,경무관,합기도,경기,남양주시,경기도 남양주시 평내로29번길 41,메인프라자 6층 604호(평내동),315951001,"합기도(호신술, 낙법, 발차기, 학교체육) 해동검도(검술, 죽도술)",127.2349882,37.64541646
2,리복크로스핏마루,헬스,서울,종로구,서울특별시 종로구 대학로8가길 36,지하1층(동숭동),27473219,크로스핏,127.0024716,37.58248711
3,메디요가(수송점),요가,전북,군산시,전북특별자치도 군산시 동수송안길 31,4층(수송동),634671700,요가,126.7167438,35.96672929
4,닥터정바디홀릭,필라테스,경기,성남시,경기도 성남시 분당구 불정로 379,분당서현프라자 501호 분당서현프라자 501호(서현동),3180160097,체형재활거북목.등굽음필라테스,127.1364144,37.37436187
5,비벨르필라테스,헬스,충남,천안시,충청남도 천안시 서북구 불당25로 142,6층 비벨르필라테스 짐(불당동),415511588,1:1 헬스 PT,127.1076282,36.81380515
6,바른합기도키즈스쿨,합기도,충북,청주시,충청북도 청주시 청원구 율봉로 197,2층(율량동),432144548,바른합기도키즈스쿨,127.4909307,36.66882601
7,민클럽 밀양점,기타종목,경남,밀양시,경상남도 밀양시 백민로4길 24,2층(내이동),,당구,128.7503505,35.49423115
8,아오스파크골프,골프,대구,북구,대구광역시 북구 학정로 571,아오스파크골프(학정동),,파크골프 강좌,128.5669332,35.95530061
9,탑라인요가 천호점,요가,서울,강동구,서울특별시 강동구 올림픽로 660,"302호(천호동, 천호엘크루주상복합)",24880188,"정통요가,플라잉외 15가지",127.1245704,37.54016964
10,히든짐,헬스,대구,북구,대구광역시 북구 매전로 80,3층 301호(태전동),,헬스1개월,128.5468693,35.91286157
11,한숲스포츠센터,수영,경기,군포시,경기도 군포시 산본천로 43-6,(산본동),313962103,주3회강습(초등),126.9281743,37.36067457
12,주식회사 엠제이팀,기타종목,서울,서대문구,서울특별시 서대문구 통일로 375,301호(홍제동),264280012,"축구.농구,인라인,생활체육",126.9492929,37.58355239
13,만청검도관만청주짓수,검도,서울,종로구,서울특별시 종로구 진흥로 490,지하 만청주짓수만청검도관(신영동),,"검도 수업,주짓수 수업",126.9607658,37.6047507
14,용인대석사용체육관,태권도,서울,종로구,서울 종로구 창신동,25-3번지 창연빌딩 3층,27650541,태권도,127.0128282,37.57522451
15,종로태권도아카데미,태권도,서울,종로구,서울특별시 종로구 필운대로 116,2층(신교동),27222001,태권도수련,126.970067,37.58368869
16,엘리트 석사 태권도,태권도,서울,종로구,서울특별시 종로구 낙산길 198,"2단지 상가 3층 1호(창신동, 창신쌍용아파트)",27662658,엘리트석사태권도,127.0110117,37.58039622
17,팀리스펙트,기타종목,경기,광명시,경기도 광명시 금하로527번길 17,3층(소하동),,키즈클래스 일일권,126.8894459,37.45241693
18,이승원 유도관 (구리점),유도,경기,구리시,경기도 구리시 벌말로 186,4층 401호 이승원 유도관 (구리점)(토평동),315537771,이승원 유도관 구리점,127.1505678,37.59286045
19,다온태권도,태권도,부산,동래구,부산광역시 동래구 명장로 66,2층 다온태권도(명장동),515251366,다온태권도,129.1080799,35.20445142
20,아이캔 태권도장,태권도,서울,강서구,서울특별시 강서구 금낭화로23길 25,"방화6단지내상가3층(방화동, 방화6단지아파트)",,교육,126.8112043,37.57813897
21,더썬유도관,유도,경기,화성시,경기도 화성시 효행로 1041,용성빌딩 201호(진안동),,유도,127.0410914,37.2139352
22,마루한 태권도,태권도,대구,북구,대구광역시 북구 칠곡중앙대로118길 20,신대림빌딩 4층 마루한태권도장(읍내동),533223665,태권도,128.5541771,35.94753975
23,찬스아이수영장 상동분원,수영,경남,거제시,경상남도 거제시 거제중앙로 1739,1층 찬스아이 수영장(상동동),556331989,어린이수영(8만원 결제용),128.6309773,34.87470476
24,예본검도관,검도,충남,예산군,충청남도 예산군 예산읍 군청로3길 15-10,예본검도관,413355800,검도(초등/중.고등),126.8456007,36.68359275
25,용인대태권도,태권도,서울,성북구,서울특별시 성북구 보국문로11길 24,396-3번지 2층 용인대태권도장(정릉동),,태권도 수업,127.0087474,37.60883811
26,MTA코리아태권도장,태권도,세종,세종시,세종특별자치시 소담1로 12,지엘플렉스1상가 506~7호(소담동),448682031,태권도,127.3014752,36.48501882
27,무사합기도,합기도,경남,김해시,경상남도 김해시 진영읍 진영로 216-1,3층 무사합기도,,무사합기도,128.7366108,35.30235864
28,그랜드유도멀티짐,유도,경기,화성시,경기도 화성시 큰나래2길 4-8,2층(새솔동),,전연령,126.8259108,37.27382195
29,아메리카요가 연신내점,요가,서울,은평구,서울특별시 은평구 연서로 201,3층(갈현동),23877888,요가,126.9186801,37.61677434
30,쿨스포츠클럽,농구,경기,남양주시,경기도 남양주시 오남읍 진건오남로912번길 123,쿨스포츠클럽,315731638,쿨스포츠 키크는 농구교실 쿨스포츠,127.2054579,37.70913925
31,마이홈짐,헬스,경기,남양주시,경기도 남양주시 화도읍 비룡로33번길 3,1층마의홈짐,,헬스~1달이용권,127.3004949,37.65511623
32,점핑다이어트 선부점,기타종목,경기,안산시,경기도 안산시 단원구 선부광장1로 62,5층 쓰리고 점핑(선부동),,점핑 다이어트,126.8113019,37.33628335
33,커브스운정클럽,헬스,경기,파주시,경기도 파주시 미래로 371,씨티타워 8층 804호커브스(동패동),319421363,커브스30분,126.7458457,37.71109414
34,점핑하이 연천전곡점,기타종목,경기,연천군,경기도 연천군 전곡읍 밤골로 13,선빌딩 3층 점핑하이,,점핑다이어트,127.071102,38.01841564
35,빌마스터,기타종목,강원,춘천시,강원도 춘천시 공지로 143,3층 빌마스터(석사동),332613949,당구 캐롬 기초,127.745634,37.85854452
36,MMA팩토리 신진주역점,복싱,경남,진주시,경상남도 진주시 개양로 120-16,201호 mma팩토리(가좌동),,주3회 CLASS 킥복싱MMA,128.1177907,35.15337985
37,바디샵필라테스피티,필라테스,서울,양천구,서울특별시 양천구 중앙로 280,4층(신정동),261041253,그룹필라테스 이용권,126.8527292,37.52137612
38,슛다요가,요가,제주,제주시,제주특별자치도 제주시 구산로 35,2층 슛다요가(아라일동),,고전하타요가,126.5387893,33.4835443
39,스타탁구클럽,탁구,경기,김포시,경기도 김포시 사우중로 82,사우프라자 602호(사우동),319853959,탁구,126.7211832,37.62172257
40,천하체육관,기타종목,충북,옥천군,충청북도 옥천군 옥천읍 중앙로 79,천하체육관,437332116,킥복싱 무에타이 주짓수,127.5707423,36.30407178
41,카우짐만수점,헬스,인천,남동구,인천광역시 남동구 백범로 123,b1층 카우짐만수점(만수동),,헬스,126.7331441,37.45461253
42,원주슈퍼스타,종합체육시설,강원,원주시,강원특별자치도 원주시 능라동길 75,303호(무실동),,슈퍼스타운동교실,127.9299361,37.33285722
43,화랑합기도,합기도,울산,북구,울산광역시 북구 매곡본길 23,1층 화랑합기도(매곡동),522958258,합기도,129.3580889,35.64057366
44,여수공공스포츠클럽(망마국민체육센터),배드민턴,전남,여수시,전라남도 여수시 소호로 392,.(소호동),616928225,배드민턴(청소년반),127.6508592,34.73879444
45,종로구청(종로문화체육센터),배드민턴,서울,종로구,서울특별시 종로구 인왕산로1길 21,(사직동),27329393,초등청소년배드민턴,126.964661,37.57420982
46,종로구민회관,수영,서울,종로구,서울특별시 종로구 지봉로5길 7-5,종로구 지붕로5길 7-5 종로구민회관(창신동),260481315,17시 어린이수영  월수(주2회),127.0143661,37.57350028
47,(주)아사힘 춘천지점,헬스,강원,춘천시,강원특별자치도 춘천시 춘천로 306-5,(후평동) 2층 203호,7040990230,몸짱트레이닝,127.7471783,37.88132791
48,철원유도관,유도,강원,철원군,강원도 철원군 철원읍 화지로 18,철원유도관,,2024 생활체육 유도수업,127.2171325,38.21275641
49,옥포MTA태권도장,태권도,경남,거제시,경상남도 거제시 성산로 33,e-편한세상 단지내상가 111동 302호~303호 옥포MTA태권도장(옥포동),,"태권도(100,000원)",128.6953228,34.89812548
50,컨트롤비트코리아댄스학원,댄스(줌바 등),서울,강북구,서울특별시 강북구 도봉로 369,2층(수유동),29957772,걸리쉬/방송댄스,127.027742,37.64034917
51,사랑태권도,태권도,충남,당진시,충청남도 당진시 송악읍 틀모시로 737,"상가 2층 208,209,210호 사랑 태권도(힐스테이트 당진2차)",413545530,태권도,126.6908713,36.90181532
52,점프윙스줄넘기클럽,기타종목,충북,충주시,충청북도 충주시 금봉1길 48,3층(용산동),438464679,줄넘기,127.9429102,36.96158373
53,스윗로얄발레학원,무용(발레 등),경기,평택시,경기도 평택시 상서재로2길 56-10,301호(동삭동),316582224,오데뜨,127.1034274,37.01522983
54,경희대석사 현송태권도,태권도,전북,김제시,전라북도 김제시 도작로 139,"경희대석사 현송태권도(검산동, 2차 부영아파트)",635472338,경희대석사 현송태권도,126.8978149,35.80658995
56,범짐,헬스,전남,여수시,전라남도 여수시 여서1로 57,2층(여서동),616521301,헬스이용권 및 1회 PT수업,127.7037682,34.75267162
57,봄내유도장,유도,강원,춘천시,강원도 춘천시 퇴계로 244,지하1층 봄내유도장(석사동),,유도,127.7452681,37.85524753
58,신원당경호태권도장,태권도,경기,고양시,경기도 고양시 덕양구 고양대로1384번길 15,3층 태권도(성사동),319637692,주3회,126.8375719,37.65332605
59,상주유도관,유도,경북,상주시,경상북도 상주시 상서문3길 125,2층(남성동),545320987,유도,128.1584039,36.41436268
60,흑추관화랑도장,합기도,인천,서구,인천광역시 서구 간촌로7번길 1,2층 흑추관화랑도장(연희동),325618229,"합기도, 태권도",126.6777349,37.54927814
61,계명대길라잡이태권도장,태권도,대구,달서구,대구광역시 달서구 용산서로 21,"계명대길라잡이태권도장(용산동, 용산미진태왕아파트)상가 204호",,태권도,128.5276215,35.85620222
62,오하운GYM,헬스,서울,송파구,서울특별시 송파구 백제고분로 419,"지하, 2층 오하운짐(송파동)",24229492,헬스 1개월(+10일 추가),127.1106866,37.50844892
63,킴스요가&필라테스 원곡점,요가,경기,안산시,경기도 안산시 단원구 원초로 23,"대우푸르지오8차 상가동 105,106호(원곡동)",314013836,요가,126.8017822,37.32912423
64,황령산실내테니스장,테니스,부산,부산진구,부산광역시 부산진구 진남로356번길 33,1층 황령산실내테니스장(전포동),,테니스의 기본 실습편(주1회),129.0724055,35.15765073
65,루나요가,요가,울산,남구,울산광역시 남구 대암로 69,2층 루나요가(야음동),522608828,키즈플라잉요가,129.3238977,35.53074551
66,동천백산 또지코리아 팀247,기타종목,부산,해운대구,부산광역시 해운대구 재반로125번길 2,4층 주짓수 체육관(재송동),,주짓수 2024년 수강,129.1264687,35.18973468
67,우현튼튼태권도장,태권도,경북,포항시,경상북도 포항시 북구 우창동로 54,2층 우현튼튼 태권도장(우현동),,태권도 수련,129.3644726,36.05628307
68,THE행복한태권도,태권도,전남,목포시,전라남도 목포시 텃골로33번길 92,항도빌딩 2층 더행복한태권도(상동),,더행복한태권도,126.4159829,34.81536235
69,서울스포츠에이전시,농구,서울,중구,서울특별시 중구 청파로103길 7,1층(중림동),27976530,농구,126.9686884,37.55875446
70,효천 액터스체육관,합기도,광주,남구,광주광역시 남구 효천2로가길 17,5층 액터스(임암동),629526062,호신무술 합기도 &amp; 타격무술 특공무술,126.8749302,35.10145113
71,도브필라테스,필라테스,경기,안양시,경기도 안양시 동안구 시민대로327번길 7,2층 204호 도브필라테스(관양동),314223828,개인/듀엣/그룹 (레슨),126.966122,37.39653654
72,해동검도무사관,검도,전남,화순군,전라남도 화순군 화순읍 충의로 117,2층 해동검도무사관,613741025,해동검도,126.9905517,35.05586385
73,KTS청운태권도장,태권도,전북,완주군,전라북도 완주군 삼례읍 상탁길 11,다라온빌딩4층 KTS청운태권도장,,태권도,127.1212013,35.9194271
74,바위클라이밍짐,기타종목,광주,동구,광주광역시 동구 예술길 31-15,지하2층(대의동),622290510,스포츠클라이밍교실,126.9198096,35.14988112
75,브로짐 1호점,헬스,전북,익산시,전라북도 익산시 무왕로11길 9,3층 브로짐(영등동),7081489695,"헬스,센터복,락카,2회이용 1개월",126.9750685,35.95931998
76,회기주짓수,기타종목,서울,동대문구,서울특별시 동대문구 회기로19길 11,2층(회기동),,주짓수 (저스트주짓수),127.052777,37.59215443
77,하이웨이짐,헬스,경기,파주시,경기도 파주시 심학산로423번길 7-21,광성빌딩 202호 하이웨이짐(목동동),214758927,1:1헬스피티 10회,126.7372782,37.71882597
78,모션PT,헬스,경북,포항시,경상북도 포항시 북구 장량중앙로46번길 3-2,2층 모션PT(양덕동),,헬스이용권2개월,129.3867968,36.08967751
79,요가스토리,요가,경기,의정부시,경기도 의정부시 평화로 635,미림프라자 202호 요가스토리(의정부동),318215155,요가.플라잉.필라테스,127.044859,37.74865738
80,점핑하이다산점,기타종목,경기,남양주시,경기도 남양주시 다산중앙로82번길 84,대길프라자2 503호(다산동),,점핑피트니스,127.1639345,37.61971257
81,킹덤피트니스,종합체육시설,전남,장흥군,전라남도 장흥군 장흥읍 동교3길 2-6,킹덤 피트니스,,1개월 헬스이용권과 레슨,126.9056369,34.67953255
82,스마트짐 6호점,헬스,충북,청주시,충청북도 청주시 흥덕구 가경로 188,"상가동 201, 202, 203호(가경동, 가경동 형석2차아파트)",432315331,헬스 1개월(락카포함),127.4367352,36.63229756
83,파워점핑다이어트,기타종목,경남,김해시,경상남도 김해시 팔판로 26,201호파워점핑다이어트(관동동),,점핑운동,128.7905969,35.17713191
84,요가비움채움필라테스,기타종목,충남,보령시,충청남도 보령시 봉산1길 106,주택(대천동),419337730,키즈 번지피트니스,126.5984584,36.35439664
85,싸이코핏불스킥복싱,복싱,부산,수영구,부산광역시 수영구 연수로357번길 21,지하1층싸이코핏불스킥복싱(수영동),,킥복싱수업,129.1105182,35.17188892
86,다온GYM,합기도,경기,광주시,경기도 광주시 초월읍 현산로 87,3층,317979738,합기도,127.2912225,37.39539078
87,뉴핏휘트니스,헬스,경남,창원시,경상남도 창원시 의창구 북면 동전로 104,201호,,"헬스,GX",128.5964266,35.30528022
88,합기도천지관,합기도,서울,용산구,서울특별시 용산구 청파로89길 4-12,합기도천지관(서계동),,합기도+파쿠르,126.9683244,37.553947
89,금메달체육관,태권도,전북,김제시,전라북도 김제시 요촌길 10,"시영아파트 상가2층 201호 금메달체육관(검산동, 시영아파트)",635468485,국가대표 태권도 금메달도장,126.8963492,35.80681951
90,우리아이태권스쿨,태권도,대구,수성구,대구광역시 수성구 범안로8길 35,"범물삼주타운상가 2층 우리아이태권스쿨(범물동, 범물삼주타운)",537829310,2024태권도(주3회),128.6416417,35.81575143
91,bob어린이수영장,수영,서울,성북구,서울특별시 성북구 종암로 120,1층 104호(종암동),29533832,수영,127.0344387,37.60102155
92,대한검도회 후검도관,검도,경기,평택시,경기도 평택시 현촌5길 5-20,"403호(용이동, 동산메디컬)",316546614,검도,127.1331459,36.99762661
93,내리태권도장,태권도,부산,기장군,부산광역시 기장군 기장읍 기장대로 82-10,삼부빌딩 3층 내리태권도장,,태권도,129.2073042,35.20441798
94,낭만태권도,태권도,부산,사하구,부산광역시 사하구 다대로 24,2층 낭만태권도(당리동),512042285,태권도수업,128.9764455,35.10023282
95,점프스타 줄넘기,줄넘기,경기,고양시,경기도 고양시 덕양구 충장로 134,409호(행신동),319790591,줄넘기,126.8349701,37.62438058
96,규암웅비체육관,태권도,충남,부여군,충청남도 부여군 규암면 자온로 5,3층,418361410,태권도,126.8815334,36.27396923
97,예산유도관,유도,충남,예산군,충청남도 예산군 예산읍 역전로 132,4층 예산유도관,413326007,유도와 호신술,126.8302449,36.69097913
98,양정지성태권도장,태권도,경남,거제시,경상북도 상주시 공검면 양정5길 36,"118(상가)동 201, 202, 203호 (양정동, 거제아이파크1차)",556373552,양정지성태권도,128.1408277,36.49670206
99,요기트리 요가,요가,서울,마포구,서울특별시 마포구 월드컵북로 221,성산빌딩 2층(성산동),23073693,키즈요가,126.9043255,37.5692779
100,성장운동&심리발달센터,기타종목,부산,동래구,부산광역시 동래구 석사로 35,보현타워 601호(사직동),515021857,선수PT (개인운동),129.0631299,35.1999781
101,팀일레븐 축구교실,축구(풋살),서울,노원구,서울특별시 노원구 공릉로 227,가동 지층(공릉동),260800467,2022학년도 2학년 축구(수요일),127.0764483,37.62944629
102,플라잉스토리,요가,경기,파주시,경기도 파주시 심학산로 415,501호(목동동) 5층,319415575,플라잉요가,126.73781,37.71848046
103,(H)필라테스남창점,기타종목,울산,울주군,울산광역시 울주군 온양읍 솔밭3길 18,2층,522377879,번지피트니스 주1회,129.2899002,35.40660001
104,대화볼링센타,볼링,전남,목포시,전라남도 목포시 삼학로 333,대화볼링센타(용해동),612767890,볼링,126.4085086,34.80076403
105,Fun Kids 스포츠 아카데미,롤러인라인,인천,연수구,인천광역시 연수구 새말로107번길 16,2층 펀키즈스포츠교실(연수동),,인라인 스케이트(주말반),126.6816832,37.41937845
106,바디짐,헬스,경북,영주시,경상북도 영주시 대동로13번길 2-2,3층 바디짐(가흥동),546359688,헬스,128.6042398,36.81528845
107,신탁구장,탁구,충북,제천시,충청북도 제천시 의병대로36길 21,화성아파트상가 3층302호(신백동),,탁구교실,128.2281562,37.13033047
108,태풍체육관(1관),기타종목,전남,여수시,전라남도 여수시 문수로 34,191-7(문수동),,킥복싱,127.7002629,34.75119461
109,나름스튜디오,기타종목,부산,기장군,부산광역시 기장군 일광읍 해빛6로 85-4,스타타워2 나름스튜디오 4층,,키즈 번지피트니스,129.2270242,35.26524514
110,명선헬스,헬스,경기,포천시,경기도 포천시 호병로1길 3,1층(신읍동),315356333,헬스,127.1951962,37.89537608
111,더우아필라테스,필라테스,충남,계룡시,충청남도 계룡시 엄사면 엄사중앙로 94,7층 702호,,더우아필라테스,127.242264,36.28891953
112,지피지기FC,축구(풋살),충남,천안시,충청남도 천안시 동남구 쉼1길 41,(구성동),,수요 취미반,127.1738062,36.78866694
113,연세FC,축구(풋살),서울,강서구,서울특별시 강서구 수명로 80,베스트프라자빌딩 지하1층(내발산동),,축구수업,126.8263929,37.55322725
114,스파이더짐,기타종목,전남,여수시,전라남도 여수시 문수로 50,4층(문수동),616552220,실내암벽등반,127.701242,34.75227353
115,서울특별시립 마포청소년수련관,기타종목,서울,마포구,서울특별시 마포구 월드컵로 212,(성산동) 서울시립마포청소년센터,231535914,jump음악줄넘기16B(초1~초4),126.9016157,37.56631284
116,GS스포츠,축구(풋살),서울,마포구,서울 마포구 성산동 월드컵로 240,월드컵경기장 4층 FC서울,23763945,고척스카이돔구장(축구),126.897273,37.56828845
117,웰니스스포츠,수영,서울,강남구,서울특별시 강남구 강남대로120길 33,더논현스포츠센터(논현동),25439633,소그룹강습,127.0262229,37.50848958
118,대한검도회 호매실검도관,검도,경기,수원시,경기 수원시 권선구 금곡동,호매실준주거1-2BL 칠보프라자 602호,312971230,검도,126.9523208,37.2727872
120,성미경희대태권도,태권도,서울,마포구,서울 마포구 성산동 성미산로 33,2층,23341617,태권도수련,126.9119474,37.55897094
121,태비태권도장,태권도,서울,마포구,서울 마포구 상암동,37-25 B1,23763321,태권도,126.8946894,37.57832091
122,현대태권도,태권도,서울,마포구,서울 마포구 망원2동,424-25 2층,23378842,태권도,126.9023251,37.56031117
123,태영태권도장,태권도,서울,마포구,서울특별시 마포구 서강로9길 45,"상가3층 태영태권도장(창전동, 태영아파트)",23361878,태권도(주5회),126.931369,37.55265143
124,연세파워태권도,태권도,서울,은평구,서울특별시 은평구 은평로8길 29,"b1(응암동, 서강스카이빌3)",23848888,스포츠종합반(5일반),126.9196658,37.59780306
125,한얼체육관,태권도,서울,마포구,서울특별시 마포구 삼개로 38,"우성 A상가 306,307호(도화동, 도화3지구우성아파트)",27120545,태권도3부,126.9471125,37.53666293
127,역촌태권도장,태권도,서울,은평구,서울특별시 은평구 은평로3길 23,2층(역촌동),263585060,태권도,126.9149651,37.60100775
128,가람태권도장,태권도,서울,마포구,서울 마포구 대흥동,549-2 예원딜딩 가람태권도장,,태권도,126.9434039,37.54989364
129,국가대표효태권도,태권도,서울,마포구,서울특별시 마포구 백범로25길 63,"상가 302호(염리동, 염리삼성래미안)",27035003,매일반 태권도 (마래푸관),126.9467788,37.54933876
130,하늘태권도,태권도,서울,마포구,서울특별시 마포구 월드컵북로 502,월드컵파크프라자402~3호 (상암동),23090805,주5회,126.8798696,37.58504438
131,국가대표 온새미로,태권도,서울,마포구,서울특별시 마포구 망원로 29,(망원동) 2층,231429582,태권도,126.9001431,37.55650966
132,월드스타클래스태권도,태권도,서울,마포구,서울특별시 마포구 굴레방로 17,청원빌딩 지하1층 월드스타클래스 태권도(아현동),,태권도,126.9555481,37.55564234
133,용인대석사라이온태권스쿨,태권도,충남,서산시,충청남도 서산시 호수공원14로 36,정현빌딩 3층 용인대석사라이온태권스쿨(예천동),416622844,태권도수업,126.4456545,36.77426823
134,한국체대 에이스 태권도장,태권도,인천,부평구,인천광역시 부평구 장제로126번길 9,2층(부평동),325133560,한국체대 에이스 태권도장,126.7309234,37.49684392
135,성남탑복싱,복싱,경기,성남시,경기도 성남시 수정구 수정로 284,4층 성남탑복싱(신흥동),27451110,복싱,127.1467124,37.44980627
136,거북복싱체육관,복싱,부산,북구,부산광역시 북구 백양대로 1014,3층거북복싱체육관(구포동),513431140,복싱,128.9948549,35.19613694
137,용인대 충무태권도장,태권도,대전,대덕구,대전광역시 대덕구 계족로489번길 84,3층   충무태권도(중리동),,태권도,127.4281518,36.35564241
138,TH용인대유도관(응암점),유도,서울,은평구,서울특별시 은평구 응암로14길 14,대창빌딩 B1(응암동),,전 연령 유도 수업,126.9188848,37.58997246
139,원동용인대청룡태권도장,태권도,경기,오산시,경기도 오산시 오산로132번길 36,502호(원동),313773134,태권도 수업,127.0727258,37.1386544
140,엘리트화랑체육관,태권도,서울,마포구,서울 마포구 공덕1동,38삼성레미안@단지내401호,27043625,태권도 수업,126.9600345,37.55017435
141,쌍호체육관,합기도,서울,마포구,서울특별시 마포구 월드컵로 111,풍성빌딩 4층 쌍호체육관(망원동),23252047,"합기도 , 호신술, 무기술 (태권도 검도 무료지도)",126.9078597,37.55818188
142,경희대 스마트 태권도장,태권도,인천,연수구,인천광역시 연수구 랜드마크로 113,"단지내상가2층(송도동, e편한세상 송도)",,태권도,126.6177017,37.4134476
143,파워점핑 태권도 줄넘기,태권도,강원,춘천시,강원특별자치도 춘천시 우두1길 17,"우리프라자 4층, 파워 점핑 태권도 줄넘기(우두동)",,파워점핑 태권도 줄넘기,127.7385574,37.9113638
144,SG복싱 짐,복싱,경기,안산시,경기도 안산시 상록구 예술광장1로 129,선경a상가  지하1층  sg복싱  짐(성포동),313917990,복싱트레이닝,126.8433659,37.32666334
145,이천석 서천 복싱짐,복싱,경기,용인시,경기도 용인시 기흥구 서천로 121,605호 이천석 서천 복싱짐(서천동),22027989,정통복싱,127.0727225,37.23716154
146,국가대표 탑클래스 태권도,태권도,광주,서구,광주광역시 서구 월드컵4강로 27,염주더샵센트럴파크아파트 상가동 지상1층 108호(화정동),,국가대표탑클래스태권도,126.875928,35.13937428
147,용인대 석사 멘토태권도장,태권도,강원,강릉시,강원도 강릉시 성덕로 328-18,주영프라자2층 206호(입암동),336527290,태권도,128.9199381,37.75466955
148,태극태권도장(부송),태권도,전북,익산시,전라북도 익산시 부송1로 86,"2,3층 태극태권도장(부송동)",638314946,태극태권도 (부송),126.9915596,35.95775808
149,워너핏PT스튜디오,헬스,서울,용산구,서울특별시 용산구 한강대로 282,2층 워너핏PT스튜디오(남영동),27921031,웨이트트레이닝,126.9727401,37.54349021
150,유니콘스포츠클럽,기타종목,서울,용산구,서울특별시 용산구 한강대로15길 23,5층 유니콘 스포츠 클럽(한강로3가),27113349,초등 생활체육(줄넘기 농구 ),126.963173,37.52612974
151,부산명장도장,합기도,부산,동래구,부산광역시 동래구 충렬사로 58-1,3층 명장합기도(명장동),515226326,"호신술,집중력향상,바른자세수업",129.0990805,35.20398235
152,매곡 점핑 다이어트,기타종목,울산,북구,울산광역시 북구 매곡1로 4-18,3층(매곡동),522827779,점핑 스포츠 교육,129.3544713,35.64349689
153,무브먼트 팩토리,기타종목,부산,강서구,부산광역시 강서구 명지국제8로 266,백만프라자 5층 무브먼트 팩토리(명지동),,성정운동,128.9217808,35.0975553
154,컴뱃주짓수,유도,대구,북구,대구광역시 북구 학정로 430,지하1층 컴뱃주짓수(구암동),,주짓수(주7일),128.5640547,35.94300044
155,우현바디큐어필라테스,필라테스,경북,포항시,경상북도 포항시 북구 우창동로 31,2층 바디큐어 필라테스(우현동),542559997,기구필라테스,129.3622439,36.05545245
156,데일리필라테스,필라테스,부산,서구,부산광역시 서구 구덕로 299,효성빌딩4층(서대신동2가),512470365,1:6 그룹 필라테스,129.0172561,35.11064886
157,퍼플축구아카데미,축구(풋살),경북,청도군,경상북도 청도군 청도읍 냉정길 46,퍼플축구아카데미1층상가,286138809,퍼플축구아카데미,128.7428359,35.64725692
158,실전격술도엠엠에이,기타종목,충남,천안시,충청남도 천안시 동남구 수곡2길 14,신방프라자 지하1층 실전격술도 체육관(신방동),,MMA,127.1282319,36.78959455
159,튠댄스컴퍼니,댄스(줌바 등),서울,강남구,서울특별시 강남구 역삼로 404,재석빌딩B1(대치동),25657590,재즈댄스기초,127.0514245,37.50052073
160,수유주짓수,기타종목,서울,강북구,서울특별시 강북구 한천로 1039,"3층 일부, 수유주짓수(수유동)",,주짓수 (수업),127.0263358,37.6399937
161,배드민턴 해라,배드민턴,경기,광주시,경기도 광주시 고불로 194,배드민턴 해라(태전동),,배드민턴강습,127.2165573,37.39508049
162,최귀성프로짐,헬스,부산,사하구,부산광역시 사하구 다대로 299,3층 최귀성프로짐(장림동),512644667,웨이트트레이닝,128.9772604,35.07567436
163,익스민턴 아카데미,배드민턴,경기,화성시,경기도 화성시 융건로 71,3층(기안동),216669126,배드민턴 아카데미 레슨,126.9861359,37.21849461
164,핏-BORN,헬스,경기,남양주시,경기도 남양주시 와부읍 덕소로 278,6층 핏본 휘트니스 필라테스,,헬스,127.2258175,37.57701736
165,투셰펜싱클럽,펜싱,경기,평택시,경기도 평택시 용죽2로 52,한강빌딩 402호 투셰펜싱클럽(용이동),,투셰펜싱클럽,127.1257954,36.99422773
166,바디에이프PT&헬스,헬스,인천,미추홀구,인천광역시 미추홀구 석정로 430,3층 바디에이프(주안동),,헬스이용권,126.6832574,37.46637411
167,서빙고동 헬스장,헬스,서울,용산구,서울특별시 용산구 서빙고로 279,3층,237851597,청소년 헬스 1개월,126.9946523,37.52047698
168,용산2가동헬스장,헬스,서울,용산구,서울특별시 용산구 효창원로69가길 2,(효창동),237851535,청소년헬스 1개월,126.9613514,37.54168972
169,주식회사 코리아스윔아카데미,수영,경기,수원시,경기도 수원시 장안구 서부로 2095,비01호(율전동),312951588,수영강습,126.9698238,37.29611257
170,용산제2체육관,태권도,서울,용산구,서울특별시 용산구 동빙고동,01월 09일,,태권도,126.9951129,37.5244124
171,용인대백호태권도장,태권도,서울,용산구,서울 용산구 후암동,418-12층,,태권도,126.9781505,37.54867983
172,정무태권도,태권도,서울,용산구,서울 용산구 효창동,5-31번지 4층 용인대 정무 태권도장,,정통태권도,126.9618989,37.54245881
173,화랑태권도,태권도,서울,강동구,서울특별시 강동구 올림픽로91길 33,3층(천호동),24846999,태권도,127.124733,37.54821683
176,용산쥬도짐,유도,서울,용산구,서울특별시 용산구 효창원로 240-1,2층(청파동1가),27126148,유도,126.9635638,37.54863821
178,튼튼태권도,태권도,서울,용산구,서울특별시 용산구 백범로 341,"312호 튼튼태권도(원효로1가, 리첸시아 용산)",260805216,태권도,126.9679734,37.53793867
