,FCLTY_NM,ITEM_NM,CTPRVN_NM,SIGNGU_NM,FCLTY_ADDR,FCLTY_DETAIL_ADDR,TEL_NO,COURSE_NM,x,y
5248,영웅 합기도,합기도,대전,서구,대전 서구 월평1동,1179번지 2층 영웅합기도장,424766688,영웅합기도,127.3576,36.35467879
5249,장훈합기도,합기도,대전,서구,대전광역시 서구 복수서로 50,"(복수동, 삼익목화아파트)",425848930,합기도,127.3745797,36.30865723
5250,흑추관 합기도,합기도,대전,서구,대전광역시 서구 복수동로 48,3층 흑추관합기도 정예도장(복수동),,합기도&amp;키즈주짓수,127.3783638,36.30007967
5251,퀸당구 클럽,기타종목,대전,서구,대전광역시 서구 둔산로137번길 31,4층 퀸당구 클럽(둔산동),424883949,당구,127.3890323,36.35278032
5252,노은힐링탁구장,탁구,대전,유성구,대전광역시 유성구 은구비서로23번길 39,영광빌딩 3층 노은힐링탁구장(지족동),4282602395,노은힐링탁구장,127.3196829,36.37555607
5253,수리야요가,요가,경기,수원시,경기도 수원시 팔달구 권광로 165,기양빌딩 5층 수리야요가(인계동),312269330,"테라피, 교정, 빈야사, 하타, 필라테스, 아쉬탕가",127.0318539,37.26262589
5254,요가by윤,요가,대구,달서구,대구광역시 달서구 장기로 242-5,4층(장기동),535718285,저녁요가그룹수업,128.5337162,35.84395024
5255,비봉승마장,승마,경기,화성시,경기도 화성시 비봉면 자청로 190,비봉승마장,,승마수업 수업 (1회성/45분수업/1인사용),126.8889522,37.20633641
5256,더원탁구장,탁구,경남,김해시,경상남도 김해시 인제로 176,2층 더원탁구장(어방동),553320691,탁구기초기술,128.904174,35.24438835
5257,대전시설관리공단(산성주민복지관),헬스,대전,중구,대전광역시 중구 보문산로 26,산성주민복지관(산성동)(산성동),427243680,헬스,127.383483,36.3040301
5260,대명태권도,태권도,대전,서구,대전광역시 서구 만년남로 9,502호 대명태권도(만년동),424873502,태권도,127.3763964,36.36608066
5261,용인대서림합기도,합기도,대전,서구,대전광역시 서구 도산로 92,2층 (도마동),425275442,합기도를 통한 건강관리 및 인성교육,127.3788269,36.3166366
5262,흑추관 케이오투 합기도,합기도,대전,대덕구,대전 대덕구 신탄진동,134-4번지 우측 2,,"합기도(키크기,줄넘기,마샬아츠,주짓수)",127.4291011,36.45171522
5263,백마검도관,검도,대전,유성구,대전광역시 유성구 반석로 9,더존타워 903호(반석동),428264433,검도,127.3135729,36.39151481
5264,성현체육관,태권도,대전,유성구,대전 유성구 신성동,214-14 1층 성현태권도,428626519,태권도수련,127.3495932,36.38386805
5265,일등태권도장,태권도,대전,대덕구,대전광역시 대덕구 대덕대로1470번길 55,"대전대덕구목상동185-2다사랑@상가2층일등태권도장(목상동, 다사랑아파트)",429339305,태권도,127.4142119,36.44685857
5266,대전특공무술,기타종목,대전,유성구,대전광역시 유성구 은구비남로33번길 61,602호(지족동),424774055,특공무술,127.3191296,36.37511643
5267,배재태권도장,태권도,대전,서구,대전서구도마2동,157-1,,태권도,127.3735854,36.31276838
5268,한양대청강태권도,태권도,대전,서구,대전광역시 서구 문정로90번길 21,6층 한양대청강태권도(탄방동),425359077,태권도,127.3895321,36.34566454
5269,변동태권도체육관,태권도,대전,서구,대전 서구,변동 40-5,,태권도 (음악줄넘기),127.3837897,36.35549872
5270,용인대합기도 1관,합기도,대전,유성구,대전 유성구 장대동,고원빌딩4층 354-1번지,,용인대 합기도 여자관장님,127.3322515,36.36295266
5271,대찬 태권도장,태권도,대전,서구,대전광역시 서구 도솔로 133,2층(도마동),425244094,태권도,127.3735636,36.32253463
5272,경희대태권도체육관,태권도,대전,유성구,대전광역시 유성구 어은로57번길 1,3층 경희대 태권도(어은동),428671288,태권도,127.3564331,36.3631106
5273,대정태권도,태권도,대전,유성구,대전광역시 유성구 대정로28번안길 83,농협4층 대정태권도(대정동),425442031,태권도,127.3210789,36.31341812
5274,예원무용학원,무용(발레 등),대전,서구,대전광역시 서구 대덕대로162번길 43,둔산코아 403호(갈마동) 예원무용학원,425357332,발레,127.3776787,36.34602999
5276,원투다이어트 복싱클럽,복싱,충남,계룡시,충청남도 계룡시 엄사면 번영로 26,2층203호,425513366,정통복싱.다이어트복싱,127.2425696,36.28854122
5277,탄츠라움무용학원,댄스(줌바 등),대전,서구,대전광역시 서구 둔산로74번길 31,(둔산동),,재즈댄스,127.3821903,36.34978382
5278,MTA하늘태권도,태권도,대전,서구,대전광역시 서구 관저북로 25,월드상가302호(관저동),425419400,평원반,127.3367442,36.30398893
5279,가람태권도,태권도,대전,대덕구,대전 대덕구 목상동,148-9 번지 목상농협건물 2층,429365828,"태권도(줄넘기, 학교체육, 유아체육, 입시체육)",127.4122627,36.44850876
5280,명성태권도체육관,태권도,대전,서구,대전광역시 서구 관저로 48,"7단지상가 명성태권도(관저동, 구봉마을 7단지)",425457273,태권도수련,127.3273024,36.29733449
5282,청암태권도,태권도,대전,대덕구,대전광역시 대덕구 신탄진북로35번길 17,(신탄진동) 2층 청암태권도장,,태권도,127.4340958,36.45119052
5283,나라찬태권도,태권도,대전,유성구,대전광역시 유성구 죽동로297번길 22,예지빌딩 403호(죽동),,태권도,127.3378929,36.36884917
5284,경희대새여울태권도,태권도,대전,대덕구,대전광역시 대덕구 대청로64번길 11,"2층 경희대새여울태권도(신탄진동, 라이프새여울아파트)",429318002,태권도. 예의범절,127.4355155,36.45302939
5285,대전금성복싱체육관,복싱,대전,유성구,대전광역시 유성구 대학로 127,2층 금성복싱체육관(궁동),428226800,20,127.3477089,36.36149365
5286,무궁화태권도장,태권도,대전,서구,대전광역시 서구 도안북로 107,301호 무궁화태권도장(도안동),428256334,무궁화태권도장(천군관),127.3405757,36.33036709
5287,경희대건강드림태권도,태권도,대전,서구,대전광역시 서구 둔산남로9번길 79,(둔산동) 2층 회복빌딩,424851983,태권도,127.3802342,36.35071683
5289,이글태권도장,태권도,대전,유성구,대전 유성구 원내동,313-3번지3층,425435072,이글태권도,127.3168679,36.29509955
5291,예건태권도장,태권도,대전,서구,대전광역시 서구 도안동로 183,"단지상가 2층 204호208호 예건태권도(도안동, 대전 도안 아이파크)",425418111,태권도 수련,127.3453847,36.32118559
5292,맑은누리태권도장,태권도,대전,유성구,대전광역시 유성구 도안동로 523,"상가동 2층 1,4,5호(봉명동, 베르디움)",428262888,태권도수련,127.3470638,36.3491761
5293,로하스복싱클럽,복싱,대전,유성구,대전광역시 유성구 신성남로 51,7층 로하스복싱클럽(신성동),428611211,주3회강습반,127.3503824,36.3867484
5294,용인대백룡태권도,태권도,대전,서구,대전광역시 서구 복수남로12번길 44,(복수동),,용인대백룡태권도(복수동),127.3809924,36.29920277
