,FCLTY_NM,FCLTY_TY_NM,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,FCLTY_ADDR,PROGRM_TY_NM,PROGRM_NM,PROGRM_TRGET_NM,PROGRM_BEGIN_DE,PROGRM_END_DE,PROGRM_ESTBL_WKDAY_NM,PROGRM_ESTBL_TIZN_VALUE,PROGRM_RCRIT_NMPR_CO,PROGRM_PRC,PROGRM_PRC_TY_NM,HMPG_URL,x,y
21,구로구민체육센터,생활체육관,1100000000,서울특별시,1153000000,구로구,서울특별시 구로구 고척로45길 39 (고척동),통합,17기구필라테스A,성인,20241201,20241231,월수금,17:00~17:50,6,180000,,https://www.gurosisul.or.kr,126.8532759,37.50658124
22,구리국민체육센터,구기체육관,4100000000,경기도,4131000000,구리시,인창동 622-28번지 일원,배드민턴프로그램,06시양지클럽_월정기배드민턴,양지클럽회원,20241201,20241231,월화수목금토일,06:00~08:50,100,15000,클럽월정기_노인[1개월],https://sports.guriuc.or.kr:4433,127.1297923,37.60508111
23,구리시멀티스포츠센터,구기체육관,4100000000,경기도,4131000000,구리시,경기도 구리시 체육관로 137-25 (교문동),종합체육시설,06B(월수금)스쿼시강습(중급),청소년이상,20241001,20241031,월수금,06:00~06:50,4,50000,주3회(경로),https://sports.guriuc.or.kr:4433,127.1351567,37.59616439
24,구리실내배드민턴장,구기체육관,4100000000,경기도,4131000000,구리시,교문동 3-2번지 일원,배드민턴,20시하나로클럽_월정기배드민턴,하나로클럽회원,20241001,20241031,월화수목금토일,20:00~22:00,100,25000,클럽월정기_성인[1개월],https://sports.guriuc.or.kr:4433,127.1363275,37.59582931
25,구리청소년수련관수영장,수영장,4100000000,경기도,4131000000,구리시,인창동 673-4번지,에어로빅,아쿠아로빅E[월수금18시],중고생및성인남녀,20241001,20241031,월수금,18:00~18:50,65,60000,,,127.1418066,37.60379969
26,국민생활관,생활체육관,5100000000,강원특별자치도,5111000000,춘천시,강원특별자치도 춘천시 효자상길5번길 11 (효자동),수영,주말수영,남녀(초등학생),20241101,20241130,토일,15:00~15:50,0,0,,https://www.cuc.or.kr,127.7284204,37.87309565
27,국민체육센터,생활체육관,2600000000,부산광역시,2626000000,동래구,부산광역시 동래구 미남로 110 (온천동),댄스(줌바 등),(15)-댄스스포츠(중급)_월수금,성인남녀,20241001,20241031,월수금,15:00~15:50,30,50000,주3회성인댄스(1개월),https://sports.dongnae.go.kr,129.0698369,35.20359834
28,국민체육센터 다목적체육관,생활체육관,4100000000,경기도,4139000000,시흥시,경기도 시흥시 하중로 226 (하중동),요가,"웰빙요가_18시(화,목)",청소년이상,20241001,20241031,,18:00~18:50,25,30000,요가(주2회),https://sportsapp.shsi.or.kr,126.8053441,37.39150566
29,국민체육센터 수영장,수영장,5100000000,강원특별자치도,5111000000,춘천시,강원특별자치도 춘천시 우석로 102-3 (석사동),수영,어린이수영,초등학생,20241101,20241130,화수목금,17:00~17:50,0,0,,https://www.cuc.or.kr,127.7566777,37.86261988
30,군포시청소년수련관수영장,수영장,4100000000,경기도,4141000000,군포시,경기도 군포시 산본로 322 (금정동),기타종목,화목20교정상(중-고-성인),중-고-성인,20241201,20241231,화목,20:00~20:50,20,27000,,https://www.gpyf.or.kr,126.9347608,37.35982376
31,근로자종합복지관 수영장,수영장,5100000000,강원특별자치도,5111000000,춘천시,강원특별자치도 춘천시 후석로440번길 9 (후평동),수영,중급,,20241201,20241231,,,0,0,,https://www.cuc.or.kr,127.743914,37.88923711
32,금곡공원국민체육센터,생활체육관,4100000000,경기도,4113500000,성남시 분당구,경기도 성남시 분당구 금곡로 302 (정자동),필라테스,기구필라테스_월수금_15시,구분없음,20241001,20241031,월수금,15:00~15:50,0,165000,,https://spo.isdc.co.kr,127.1097356,37.35716138
33,금천구민문화체육센터,생활체육관,1100000000,서울특별시,1154500000,금천구,서울특별시 금천구 독산로54길 188 (독산동),기타종목,번지핏/토09시~09시50분/4회수업기준/1층다목적룸  회원구분:단체레슨반  장소:1층다목적룸,14세~성인,20241101,20241130,토,09:00~09:50,0,80000,65세↑ (1개월),https://s.gfmc.kr,126.9073405,37.47006899
34,금천구민문화체육센터수영장,수영장,1100000000,서울특별시,1154500000,금천구,금천구 독산4동371-2,수영,"실버수영(마스터)/화,목(14:00~14:50)강습+토(12:00~13:50)자유수영  회원구분:마스터(접영이상)  장소:수영장",만60세이상,20241201,20241231,화목토,14:00~14:50,0,38000,성인 (1개월),https://s.gfmc.kr,126.9072633,37.47013786
35,기장군국민체육센터,생활체육관,2600000000,부산광역시,2671000000,기장군,부산광역시 기장군 일광면 체육공원1로 29,기타종목,"11시 스피닝(수,금)(2024)",,20241001,20241031,수금,11:00~11:50,15,0,,https://regs.gijangcmc.or.kr,129.24285,35.30497463
36,기장군국민체육센터수영장,수영장,2600000000,부산광역시,2671000000,기장군,부산광역시 기장군 일광읍 체육공원1로 29,수영,07시 자유수영(2024),,20241201,20241231,화수목금,07:00~08:00,35,0,,https://regs.gijangcmc.or.kr,129.24285,35.30497463
37,기장생활체육센터,생활체육관,2600000000,부산광역시,2671000000,기장군,부산광역시 기장군 기장읍 차성서로109번길 24,요가,"NEW 06시30분 요가(수,금)",,20241001,20241031,수금,06:30~07:20,14,0,,https://regs.gijangcmc.or.kr,129.2082011,35.24365234
38,김천국민체육센터,생활체육관,4700000000,경상북도,4715000000,김천시,경상북도 김천시 운동장길 1 (삼락동),탁구,월수금 오후탁구,누구나,20241001,20241031,월수금,14:00~16:00,25,20000,,https://www.gcfmc.or.kr,128.086502,36.13969402
39,김포생활체육관,생활체육관,4100000000,경기도,4157000000,김포시,경기도 김포시 김포한강8로 198-3 (마산동),배드민턴,"배드민턴(월,수,금)09시~13시",성인,20241201,20241231,월수금,09:00~13:00,24,0,배드민턴(월수금)09,https://yeyak.guc.or.kr,126.6449051,37.64035315
40,까치산체육센터,골프연습장,1100000000,서울특별시,1162000000,관악구,서울특별시 관악구 행운10길 23 (봉천동),골프,골프연습장이용료(09시),성인남녀,20241101,20241130,월화수목금,09:00~09:50,0,110000,,https://booking.gwanakgongdan.or.kr,126.9624721,37.48197062
41,남구 빙상장,빙상장,2600000000,부산광역시,2629000000,남구,부산광역시 남구 백운포로 106 (용호동),기타종목,스피드_성인17,성인,20241201,20241231,월수금,17:00~17:45,15,80000,스케이트_성인(월8회),https://www.namgusports.go.kr,129.1100779,35.10415758
42,남구국민체육센터 1관(실내체육관),생활체육관,2600000000,부산광역시,2629000000,남구,부산광역시 남구 백운포로 110 (용호동),종합체육시설,배드민턴1350(개인레슨)_월수금,청소년이상,20241101,20241130,월수금,13:50~15:30,10,88000,배드민턴_월수금(개인레슨),https://www.namgusports.go.kr,129.1082001,35.10388234
43,남동국민체육센터,생활체육관,2800000000,인천광역시,2820000000,남동구,인천광역시 남동구 백범로124번길 94 (만수동),수영,수영,,20241001,20241031,월수금,07:00-07:50,30,60000,성인,,126.7363878,37.45790787
44,남양주시청소년수련관,생활체육관,4100000000,경기도,4136000000,남양주시,경기도 남양주시 다산지금로 51-47 (이패동),수영,수영단기속성F(수금) 수영단기속성F(수금),,20241201,20241231,수금,17:00~17:50,0,100000,,https://www.ncuc.or.kr,127.1781185,37.60893656
45,남양주체육문화센터,생활체육관,4100000000,경기도,4136000000,남양주시,경기도 남양주시 다산지금로 91 (이패동),종합체육시설,건강·문화(GX) 성인/청소년건강.문화   남양주체육문화센터 건강·문화(GX)-성인/청소년건강.문화 10/A탁구프로그램   남양주체육문화센터 건강·문화(GX)-성인/청소년건강.문화 10/A탁구프로그램 탁구(컨퍼런스장) 탁구(컨퍼런스장),,20241101,20241130,월수금,10:00~12:00,0,45900,,https://www.ncuc.or.kr,127.1777904,37.60592658
46,남양주체육문화센터수영장,수영장,4100000000,경기도,4136000000,남양주시,경기도 남양주시 다산지금로 51-27 (이패동),수영,10/E(월-금)성인/청소년 수영주5회(성인),,20241201,20241231,월화수목금,10:00~10:50,0,91000,,https://www.ncuc.or.kr,127.1756062,37.60990889
47,능곡 어울림센터 다목적체육관,생활체육관,4100000000,경기도,4139000000,시흥시,경기도 시흥시 능곡로 140 (능곡동),배드민턴,09:30<배드민턴>월수금,청소년~성인,20241001,20241031,,09:30~12:00,20,58330,배드민턴,,126.8159456,37.36641994
48,능평스포츠센터-수영장,수영장,4100000000,경기도,4161000000,광주시,경기도 광주시 창뜰아랫길 14-3 (능평동),종합체육시설,10시/A(교정)_기간수료-(1000M이상)1개월차,청소년이상,20241101,20241130,월수금,10:00~10:50,0,41000,,https://gjcenter.gjcs.or.kr,127.1667922,37.34894166
49,달성군국민체육센터,수영장,2700000000,대구광역시,2771000000,달성군,대구광역시 달성군 현풍면 현풍동로 180,수영,수영,성인남/여및중고생,20241001,20241031,월수금,09:00~09:50,0,0,,https://yeyak.dssiseol.or.kr,128.4418206,35.70169197
50,달성문화센터수영장,수영장,2700000000,대구광역시,2771000000,달성군,대구광역시 달성군 다사읍 대실역북로2길 188,수영강습,수영강습,성인남/여및중고생,20241001,20241031,월화수목금,06:00~06:50,0,0,,https://yeyak.dssiseol.or.kr,128.4609555,35.86547511
51,도봉실내수영장,수영장,1100000000,서울특별시,1132000000,도봉구,서울특별시 도봉구 도봉로180나길 41 (도봉동),수영,20시저녁수영A(초급),"성인,청소년,경로",20241001,20241031,월수금,20:00~20:50,11,35000,경로-주3회,https://yeyak.dobongsiseol.or.kr,127.0498958,37.68434454
52,동구 국민체육문예센터,생활체육관,2600000000,부산광역시,2617000000,동구,부산광역시 동구 구청로 8 (수정동),댄스(줌바 등),한국무용,성인누구나,20241001,20241031,화목,15:00~17:00,30,0,,https://www.bsdgsportsart.or.kr,129.0446742,35.12895295
53,동구문화체육센터 수영장,수영장,2800000000,인천광역시,2814000000,동구,인천광역시 동구 송림로110번길 5-8(송림동),수영,월수금 상급반 저녁2부(20:00~20:50),성인 및 청소년(만13세 이상),20241101,20241130,월수금,20:00~20:50,0,50000,,https://cscenter.icdonggu.go.kr,126.6475423,37.47577301
54,동대문구민체육센터수영장,수영장,1100000000,서울특별시,1123000000,동대문구,대전광역시 서구 장안동  장안로 587,수영,06시 마스터즈-화목,성인/청소년,20241001,20241031,화목,06:00~06:50,4,22000,,https://www.dfmc.kr:8443,127.3370849,36.21164905
55,동래구국민체육센터실내수영장,수영장,2600000000,부산광역시,2626000000,동래구,부산광역시 동래구 미남로116번길 3 (온천동),수영,(13)-어린이소그룹수영_고급(평영이상),초등학생,20241101,20241130,토일,13:00~13:50,10,95000,주말소그룹(1개월),https://sports.dongnae.go.kr,129.0697194,35.20453341
56,동부여성문화회관실내수영장,수영장,2700000000,대구광역시,2714000000,동구,대구광역시 동구 신암북로11길 54-2 (신암동),에어로빅,11.월수금 아쿠아로빅 13:20~14:10,대구 거주 성인여성(주민등록증 거주),20241001,20241031,,,0,44000,,https://yeyak.daegu.go.kr,128.6223306,35.8904138
57,동작구민체육센터,생활체육관,1100000000,서울특별시,1159000000,동작구,서울특별시 동작구 여의대방로16길 53 (신대방동),축구(풋살),풋볼/특화 그룹/6세~7세   동작구민체육센터 풋볼/특화-그룹/6세~7세 17시[수]어린이/football/6세~7세 주1회[6세~7세]   동작구민체육센터 풋볼/특화-그룹/6세~7세 17시[수]어린이/football/6세~7세 주1회[6세~7세],,20241101,20241130,수,17:00~17:50,0,70000,,https://sports.idongjak.or.kr,126.9167677,37.49471976
58,동작구민체육센터수영장,수영장,1100000000,서울특별시,1159000000,동작구,신대방동 460-1,수영,수영[소수정예]특화 금   동작구민체육센터 수영[소수정예]특화-금 금15시중급[평영발~한팔접영]/중등생~성인 성인수영소수C   동작구민체육센터 수영[소수정예]특화-금 금15시중급[평영발~한팔접영]/중등생~성인 성인수영소수C,,20241101,20241130,금,15:00~15:50,0,55000,,https://sports.idongjak.or.kr,126.9167737,37.49472364
59,두류수영장,수영장,2700000000,대구광역시,2729000000,달서구,대구광역시 달서구 공원순환로 237 (성당동),수영,수영_화목토_교정B반(11시10분),성인,20241201,20241231,화목토,11:10~12:00,35,0,,https://13.dpfc.or.kr,128.5615703,35.84692155
60,마장국민체육센터,생활체육관,1100000000,서울특별시,1120000000,성동구,서울특별시 성동구 마조로11길 6 (마장동),요가,테라피 요가07B(생명안전배움터),성인,20241101,20241130,월수금,07:30~08:20,0,55000,,https://sports.happysd.or.kr,127.04079,37.56213021
61,문학박태환수영장,수영장,2800000000,인천광역시,2817000000,남구,인천광역시 남구 매소홀로 618 (문학동),수영,(20)저녁2반_주2회(초급),청소년이상,20241201,20241231,화목,20:00~20:50,30,48000,,https://www.icsports.or.kr,126.6907598,37.43508198
62,미추홀구 국민체육센터,수영장,2800000000,인천광역시,2817700000,,인천광역시 미추홀구 경인로42번길 57 (숭의동),기타종목,19시 직장인_기초,청소년이상,20241001,20241031,화목,19:00~19:50,20,45000,,https://www.imfmc.co.kr,126.6494662,37.46195279
63,백운커뮤니티센터,수영장,4100000000,경기도,4143000000,의왕시,경기도 의왕시 백운중앙로 74 (학의동),수영,19시 화목 입문(성인남녀/청소년),성인/청소년,20241001,20241031,화목,19:00~19:50,20,16520,,https://reserve.uuc.or.kr,127.0075798,37.3700378
64,백운포체육공원 (테니스장),테니스장,2600000000,부산광역시,2629000000,남구,부산광역시 남구 백운포로 108 (용호동),테니스,테니스개인레슨08시20분,,20241201,20241231,월화금,08:20~08:40,1,100000,테니스개인레슨,https://www.namgusports.go.kr,129.1093425,35.10386913
65,보령국민체육센터수영장,수영장,4400000000,충청남도,4418000000,보령시,충청남도 보령시 남포면 보령남로 347,수영,10시 오전수영[중급반],청소년이상,20241001,20241031,월수,10:00~10:50,20,0,,https://www.brcn.go.kr,126.6039317,36.31376021
66,부곡다목적실내체육관,구기체육관,4100000000,경기도,4143000000,의왕시,경기도 의왕시 부곡공원길 6 (월암동),배구,부곡 10시 화목 배구,"성인,청소년",20241201,20241231,화목,10:00~12:00,25,33000,,https://reserve.uuc.or.kr,126.9587549,37.31463525
67,부곡스포츠센터,생활체육관,4100000000,경기도,4143000000,의왕시,경기도 의왕시 부곡시장길 77 (삼동),댄스(줌바 등),09시 화목 멀티근력댄스,성인남녀,20241101,20241130,화목,09:00~09:50,0,33000,,https://reserve.uuc.or.kr,126.9572372,37.31864395
68,부산국민체육센터,생활체육관,2600000000,부산광역시,2614000000,서구,부산광역시 서구 대신로 150 (서대신동3가),요가,직장인요가 A반,청소년 이상,20241201,20241231,월수금,19:00~19:50,0,50600,,https://www.bnsc.or.kr,129.0157696,35.11732419
69,부산진구 국민체육센터,수영장,2600000000,부산광역시,2623000000,부산진구,부산광역시 부산진구 진남로328번길 35 (전포동),수영,새벽수영 06_새벽수영A,청소년이상,20241201,20241231,월화수목금,06:00~06:50,0,66000,,https://www.jsports.or.kr,129.0737727,35.15538668
70,북구국민체육센터,생활체육관,3100000000,울산광역시,3120000000,북구,울산광역시 북구 호계로 416-31 (신천동),기타종목,"바디체인지(A) 15시(수,금)",성인누구나,20241201,20241231,수금,15:00~15:50,0,20000,,https://www.bukgusports.com,129.3470136,35.64276707
71,북구국민체육센터,생활체육관,2600000000,부산광역시,2632000000,북구,부산광역시 북구 화명대로94번길 83 (화명동),에어로빅,에어로빅(A) 21시,초등학생이상,20241201,20241231,월화수목금,21:00~21:50,0,57000,,https://www.bukgusports.com,129.0174211,35.23078774
72,분당야탑청소년수련관수영장,수영장,4100000000,경기도,4113500000,성남시 분당구,경기도 성남시 분당구 벌말로30번길 35(야탑동),수영,(성인)월자유수영(월-금20시),성인남여,20241001,20241031,월화수목금,20:00~20:50,90,37000,,https://snyouth.or.kr,127.1418618,37.4102383
73,사당문화회관수영장,수영장,1100000000,서울특별시,1159000000,동작구,사당동 248-6,수영,[19시월수]상급반/양팔접영이상/중등생~성인 *성인수영(월수),,20241201,20241231,월수,19:00~19:50,0,34100,,https://sports.idongjak.or.kr,126.9696139,37.48471444
74,사하구국민체육센터,생활체육관,2600000000,부산광역시,2638000000,사하구,부산광역시 사하구 감천로 68 (감천동),댄스(줌바 등),09시 다이어트댄스,청소년이상,20241201,20241231,월화수목금,09:00~09:50,50,60000,,https://www.sahaksports.or.kr,128.9988776,35.08943501
75,삼각산문화예술회관수영장(구.강북구민회관수영장),수영장,1100000000,서울특별시,1130500000,강북구,서울특별시 강북구 삼각산로 85 (수유동),수영,저녁수영 19시 [월수금] 신규,청소년 이상,20241101,20241130,월수금,19:00~19:50,0,37000,,https://gbcmc.or.kr,127.0138781,37.64098979
76,서대문체육회관수영장,수영장,1100000000,서울특별시,1141000000,서대문구,홍은3동 산26-155,기타종목,아쿠아_토_13시,성인,20241001,20241031,토,13:00~13:50,75,22500,,https://cs.sscmc.or.kr,126.9315574,37.58075973
77,서부산권장애인스포츠센터,생활체육관,2600000000,부산광역시,2638000000,사하구,부산광역시 사하구 낙동남로1233번길 20 (하단동),수영,18시 직장인수영[월수금]_고급,성인,20241101,20241130,월수금,18:00~18:50,0,50000,,https://www.sbsd.kr,128.9469416,35.10942029
78,서울여성능력개발원수영장,기타시설,1100000000,서울특별시,1121500000,광진구,서울특별시 광진구 아차산로30길 36 (자양동),수영,S13오후3시수영강습,,20241201,20241231,월화수목금,15:00~15:50,40,76000,,https://dongbu.seoulwomanup.or.kr,127.0667179,37.5394028
79,서재문화체육센터,생활체육관,2700000000,대구광역시,2771000000,달성군,대구광역시 달성군 다사읍 다사로 750,요가,(20)요가테스(주3회),성인,20241201,20241231,월수금,20:00~20:50,29,0,,https://13.dpfc.or.kr,128.5032013,35.88428804
80,선학국제빙상경기장,빙상장,2800000000,인천광역시,2818500000,연수구,인천광역시 연수구 경원대로 526 (선학동),기타종목,일)14시~16시스피드_기초반(신규모집),7세 ~ 성인,20241101,20241130,일,14:00~15:45,20,0,7세,https://www.seonhakicerink.or.kr,126.7018481,37.43090319
81,성동구립용답체육센터 수영장,수영장,1100000000,서울특별시,1120000000,성동구,서울특별시 성동구 천호대로78길 15-48(용답동),수영,저녁수영19-C,청소년,20241001,20241031,화목,19:00~19:50,5,24000,,https://sports.happysd.or.kr,127.0570568,37.56183119
