CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,FCLTY_NM,RPRSNTV_TEL_NO,ZIP_NO,FCLTY_ADDR,FCLTY_DETAIL_ADDR,MAIN_ITEM_CD,MAIN_ITEM_NM,FCLTY_CRDNT_LO,FCLTY_CRDNT_LA,COURSE_FLAG_CD,COURSE_ITEM_NM,COURSE_NM
41,경기,41570,김포시,버닝트랙인라인클럽,319812633,10055,경기도 김포시 양촌읍 해평로 126-83,버닝트랙인라인클럽,6,롤러인라인,126.6551501,37.6574172,장애인강좌,,
41,경기,41130,성남시,버클짐,3180169601,13524,경기도 성남시 분당구 판교역로192번길 14-2,골드타워 5층 버클짐휘트니스(삼평동),25,헬스,127.1120595,37.39748,장애인강좌,,
41,경기,41450,하남시,벌키키즈36.5,317963605,12948,경기도 하남시 신장동로 35,301호~303호(신장동),12,수영,127.2112357,37.5433689,장애인강좌,,
41,경기,41270,안산시,베스트 태권도장,,15217,경기도 안산시 단원구 화정천서로2길 17,"2층 베스트 태권도장(선부동, 도원스위트빌)",22,태권도,126.8157217,37.342272,장애인강좌,,
41,경기,41130,성남시,베스트 태권도장,317312230,13346,경기도 성남시 수정구 수정로 226,2층(신흥동),22,태권도,127.1447524,37.4451244,장애인강좌,,
41,경기,41280,고양시,베스트(Best)내유태권도장,319698151,10263,경기도 고양시 덕양구 유산길 35,2층 Best내유태권도장(내유동),22,태권도,126.8468074,37.7267431,장애인강좌,,
41,경기,41570,김포시,베스트바디퍼스널트레이닝김포점,319915223,10097,경기도 김포시 사우중로 93,한빛프라자 7층(북변동),25,헬스,126.7213099,37.6229633,장애인강좌,,
41,경기,41390,시흥시,베스트볼링센터,313168585,14912,경기도 시흥시 비둘기공원5길 23,"5층,6층 베스트볼링센터(대야동)",10,볼링,126.7902494,37.4422217,장애인강좌,,
41,경기,41210,광명시,베스트스포츠아카데미,28976751,14307,경기도 광명시 하안로 254,정산빌딩 4층(하안동),20,축구(풋살),126.8829667,37.4592282,장애인강좌,,
41,경기,41610,광주시,베스트장애아동재활치료센터,27628585,12722,경기도 광주시 곤지암읍 광여로 555-40,1층 베스트장애아동재활치료센터,7,댄스(줌바 등),127.3956862,37.3711168,장애인강좌,,
41,경기,41390,시흥시,베스트탁구클럽,,15040,경기도 시흥시 중심상가로 38,3층 베스트탁구클럽(정왕동),21,탁구,126.7223613,37.352683,장애인강좌,,
