,BASE_YEAR,ALSFC_CTPRVN_NM,ALSFC_SIGNGU_NM,SCHUL_TY_NM,SCHUL_NM,OPN_PD,ARBY_COT_CO_VALUE,ALSFC_ADDR,OPER_ITEM_CN,OPER_TIME_CN,SHWERRM_CO,TOILET_CO,LOCKERRM_CO,x,y
142,2017,경기도,이천시,고등학교,이현고등학교,20170301~20171231,778.3㎥ /4개 코트,"경기도 이천시 증신로 88, 이현고등학교 (갈산동)",배드민턴,,0,0,0,127.457718,37.28562125
144,2017,충청남도,예산군,초등학교,예산중앙초등학교,20170301~20171231,1.385㎥ /2개 코트,"충청남도 예산군 예산읍 주교로 21, 예산중앙초등학교 체육관","족구,배드민턴,탁구",월요일:18:30~23:00 화요일:18:30~23:00  수요일:18:30~23:00  목요일:18:30~23:00  금요일:18:30~23:00  토요일:14:00~18:00  일요일:14:00~18:00,0,1,1,126.8313715,36.68416567
146,2017,강원도,정선군,초등학교,화동초등학교,20170301~20171231,1079㎥ /4개 코트,"강원도 정선군 정선읍 애산로 60, 체육회관 1층",배드민턴,월요일:19:00~22:00 화요일:19:00~22:00  수요일:19:00~22:00  목요일:19:00~22:00  금요일:19:00~22:00  토요일:19:00~22:00  일요일:19:00~22:00,1,1,1,128.6747444,37.37705836
147,2017,전라남도,광양시,초등학교,광양마로초등학교,20170101~20171231,697.2㎥ /4개 코트,"전라남도 광양시 광양읍 와룡길 60, 광양마로초등학교","풋살,기타종목,배구,배드민턴",월요일:15:30~22:00 화요일:15:30~22:00  수요일:15:30~22:00  목요일:15:30~22:00  금요일:15:30~22:00  토요일:13:00~17:00  일요일:00:00~00:00,2,2,2,127.6115936,34.967084
148,2017,충청남도,태안군,고등학교,만리포고등학교,20170301~20171231,1027㎥ /4개 코트,"충청남도 태안군 소원면 서해로 631, 만리포고등학교","줄넘기,기타종목,배드민턴,탁구",월요일:18:00~22:30 화요일:18:00~22:30  수요일:18:00~22:30  목요일:18:00~22:30  금요일:18:00~22:30  토요일:18:30~22:30  일요일:18:30~22:30,2,2,0,126.1908228,36.76035844
151,2017,세종특별자치시,세종특별자치시,초등학교,연동초등학교,20170801~20171231,372㎥ /1개 코트,세종특별자치시  연동면 청연로 606-36,"줄넘기,배구",월요일:14:00~22:00 화요일:14:00~22:00  수요일:14:00~22:00  목요일:14:00~22:00  금요일:14:00~22:00  토요일:09:00~17:00  일요일:00:00~,0,0,0,127.325888,36.55954468
152,2017,세종특별자치시,세종특별자치시,초등학교,연남초등학교,20170401~20171231,660㎥ /1개 코트,세종특별자치시  연기면 연기길 2,족구,월요일:19:00~22:00 화요일:19:00~22:00  수요일:19:00~22:00  목요일:19:00~22:00  금요일:19:00~22:00  토요일:13:00~16:00,0,0,0,127.277847,36.54388083
156,2017,대구광역시,달서구,초등학교,신서초등학교,20170301~20171231,1264㎥ /6개 코트,"대구광역시 달서구 계대동문로3길 46, 신서초등학교 (신당동)","농구,배드민턴",월요일:18:00~21:00 화요일:18:00~21:00  수요일:18:00~21:00  목요일:18:00~21:00  금요일:18:00~21:00  토요일:14:00~17:00  일요일:00:00~00:00,2,2,2,128.4947454,35.85793519
157,2017,경기도,의정부시,초등학교,의정부송산초등학교,20170301~20171231,69791㎥ /4개 코트,"경기도 의정부시 오목로 228, 의정부송산초등학교 (민락동)","에어로빅,배구,배드민턴",월요일:19:30~22:30 화요일:19:00~22:00  수요일:19:00~22:00  목요일:19:00~22:00  금요일:19:30~22:30  토요일:15:00~18:00,1,2,1,127.1008071,37.74656825
158,2017,제주특별자치도,제주시,초등학교,외도초등학교,20170301~20171231,594㎥ /6개 코트,제주특별자치도 제주시 일주서로 7368 (외도이동),"족구,배드민턴",월요일:18:30~22:30 화요일:18:30~22:30  수요일:18:30~22:30  목요일:18:30~22:30  금요일:18:30~22:30  토요일:15:30~20:30  일요일:15:30~20:30,0,0,0,126.4346988,33.49246577
159,2017,충청북도,제천시,초등학교,명지초등학교,20170301~20171231,733㎥ /1개 코트,충청북도 제천시 강명길 21 (명지동),"배드민턴,탁구",월요일:18:00~22:00 화요일:18:00~22:00  수요일:18:00~22:00  목요일:18:00~22:00  금요일:18:00~22:00  토요일:14:00~18:00  일요일:00:00~00:00,1,2,1,128.2054568,37.11882822
161,2017,충청남도,서산시,중학교,대산중학교,20170301~20171231,1057㎥ /6개 코트,"충청남도 서산시 대산읍 충의로 1856, 대산중학교","배구,배드민턴",월요일:14:00~22:00 화요일:14:00~22:00  수요일:14:00~22:00  목요일:14:00~22:00  금요일:14:00~22:00  토요일:19:00~22:00  일요일:19:00~22:00,1,1,1,126.4404028,36.93326619
163,2017,충청남도,서천군,고등학교,장항고등학교,20170302~20171231,1030㎥ /4개 코트,"충청남도 서천군 장항읍 성화로193번길 6, 장항고등학교","족구,요가,에어로빅,배구,배드민턴,탁구",월요일:15:30~22:30 화요일:15:30~22:30  수요일:15:30~22:30  목요일:15:30~22:30   토요일:13:00~22:00,2,3,2,126.7066945,36.01638039
164,2017,전라남도,나주시,중학교,나주노안중학교,20170331~20171231,731㎥ /3개 코트,"전라남도 나주시 노안면 노안로 373, 노안중학교","배드민턴,탁구",월요일:18:30~22:30 화요일:18:30~22:30  수요일:18:30~22:30  목요일:18:30~22:30  금요일:18:30~22:30  토요일:18:30~22:30,1,1,0,126.7340248,35.07365675
165,2017,경기도,부천시,중학교,부천여자중학교,20170301~20171231,1758.㎥ /1개 코트,"경기도 부천시 성주로23번길 22, 부천여자중학교 (송내동)","농구,배구,태권도",월요일:19:00~22:00 화요일:19:00~22:00  수요일:19:00~22:00  목요일:19:00~22:00  금요일:19:00~22:00  토요일:14:00~21:00  일요일:09:00~18:00,1,2,1,126.7604785,37.48137627
167,2017,경기도,시흥시,초등학교,배곧초등학교,20170301~20171231,550㎥ /1개 코트,경기도 시흥시 배곧4로 44-5 (정왕동),"필라테스,체조",월요일:15:00~19:00 화요일:15:00~19:00  수요일:15:00~19:00  목요일:15:00~19:00  금요일:15:00~19:00  토요일:09:00~17:00,2,4,2,126.7286771,37.37589074
168,2017,경상북도,영주시,고등학교,영주제일고등학교,20170301~20171231,1054㎥ /6개 코트,"경상북도 영주시 신재로 36, 가흥동 (가흥동)","골프,탁구",월요일:18:00~22:00 화요일:18:00~22:00   목요일:18:00~22:00  금요일:18:00~22:00  토요일:14:00~22:00,0,0,0,128.6091495,36.83291177
169,2017,경상북도,영주시,고등학교,영주고등학교,20170301~20171231,953㎥ /1개 코트,"경상북도 영주시 이산로 31, 영주고등학교 (하망동)","뉴스포츠**,배구",월요일:18:00~22:00 화요일:18:00~22:00   목요일:18:00~22:00  금요일:18:00~22:00  토요일:14:00~22:00,1,2,0,128.6412982,36.82270182
172,2017,서울특별시,금천구,중학교,문성중학교,20170301~20171231,486㎥ /8개 코트,"서울특별시 금천구 독산로102길 78, 문성중학교 (독산동)",탁구,월요일:17:00~21:00   목요일:17:00~22:00   토요일:09:00~18:00  일요일:09:00~18:00,0,0,0,126.9084938,37.4754682
173,2017,전라남도,함평군,고등학교,학다리고등학교,20170301~20171231,908.4㎥ /4개 코트,"전라남도 함평군 학교면 학교길 77, 학다리고등학교","배드민턴,탁구",월요일:14:00~22:00 화요일:14:00~22:00  수요일:14:00~22:00  목요일:14:00~22:00  금요일:14:00~22:00  토요일:10:00~12:00,0,1,0,126.5364017,35.0259649
176,2017,제주특별자치도,제주시,중학교,오름중학교,20170301~20171231,610㎥ /6개 코트,"제주특별자치도 제주시 화삼북로 110, 오름중학교 (도련일동)","댄스스포츠,배드민턴",월요일:18:00~22:00 화요일:18:00~22:00  수요일:18:00~22:00  목요일:18:00~22:00  금요일:18:00~22:00  토요일:18:00~22:00  일요일:18:00~22:00,2,2,2,126.5844702,33.51667441
178,2017,충청남도,태안군,초등학교,창기초등학교,20170301~20171231,587㎥ /3개 코트,충청남도 태안군 안면읍 황도로 72,"배드민턴,탁구",월요일:19:00~22:00 화요일:19:00~22:00  수요일:19:00~22:00  목요일:17:00~22:00  금요일:17:00~22:00  토요일:19:00~22:00  일요일:19:00~22:00,0,2,0,126.3380275,36.57969933
180,2017,전라남도,곡성군,초등학교,죽곡초등학교,20170301~20171231,492㎥ /3개 코트,"전라남도 곡성군 죽곡면 오죽로 43, 죽곡초등학교","뉴스포츠**,배드민턴",월요일:18:00~22:00 화요일:00:00~00:00  수요일:18:00~22:00  목요일:18:00~22:00  금요일:18:00~22:00  토요일:14:00~18:00  일요일:00:00~00:00,0,1,0,127.3178546,35.1527479
181,2017,전라남도,나주시,중학교,나주중학교,20170301~20171231,1478.㎥ /4개 코트,"전라남도 나주시 남산길 10, 나주중학교 (죽림동)","배드민턴,탁구",월요일:18:30~22:30 화요일:18:30~22:30  수요일:18:30~22:30  목요일:18:30~22:30  금요일:18:30~22:30  토요일:18:30~22:30,1,1,0,126.7220063,35.03095299
182,2017,경기도,부천시,중학교,부천동여자중학교,20170301~20171231,1288㎥ /1개 코트,경기도 부천시 경인로484번길 36 (괴안동),"농구,탁구",월요일:19:00~22:00 화요일:19:00~22:00  수요일:19:00~22:00  목요일:19:00~22:00  금요일:19:00~22:00  토요일:14:00~21:00  일요일:10:00~18:00,0,2,0,126.8102958,37.48077551
184,2017,경상남도,고성군,초등학교,동해초등학교,20170301~20171231,771.5㎥ /4개 코트,경상남도 고성군 동해면 동해로 1585,"배구,배드민턴",화요일:18:00~22:00  수요일:18:00~22:00  목요일:18:00~20:00  금요일:18:00~20:00  토요일:18:00~21:00,1,2,1,128.4445817,35.04613467
186,2017,경상남도,하동군,초등학교,옥종초등학교,20170301~20171231,962.3㎥ /4개 코트,"경상남도 하동군 옥종면 주포중앙길 14-13, 옥종초등학교","배드민턴,체조,탁구",월요일:15:00~21:00 화요일:15:00~21:00  수요일:15:00~21:00  목요일:15:00~21:00  금요일:15:00~21:00  토요일:09:00~13:00  일요일:00:00~00:00,1,2,1,127.8821819,35.18113007
187,2017,충청남도,태안군,중학교,태안여자중학교,20170301~20171231,554.2㎥ /3개 코트,충청남도 태안군 태안읍 다락미4길 27,"줄넘기,배드민턴,웨이트트레이닝,탁구",월요일:18:30~22:30 화요일:18:30~22:30  수요일:18:30~22:30  목요일:18:30~22:30  금요일:18:30~22:30  토요일:18:30~22:30  일요일:18:30~22:30,1,1,0,126.3063693,36.75185621
189,2017,전라남도,진도군,초등학교,진도초등학교,20170301~20171231,1905㎥ /6개 코트,"전라남도 진도군 진도읍 성내길 9, 진도초등학교","배구,배드민턴",화요일:17:00~22:00  수요일:17:00~22:00  목요일:17:00~22:00  금요일:18:00~22:00  토요일:18:00~22:00,1,2,1,126.2651196,34.48662154
190,2017,대전광역시,유성구,고등학교,중일고등학교,20170302~20171231,"2,754㎥ /4개 코트","대전광역시 유성구 배울2로 68, 중일고등학교 (관평동)","뉴스포츠**,농구,댄스스포츠,배구,배드민턴,체조,탁구",월요일:14:00~22:00 화요일:13:00~22:00  수요일:14:00~22:00  목요일:13:00~22:00  금요일:13:00~22:00  토요일:15:00~20:00  일요일:15:00~21:00,2,2,2,127.3886965,36.42052491
191,2017,충청남도,태안군,고등학교,안면고등학교,20170301~20171231,662㎥ /4개 코트,충청남도 태안군 안면읍 조운막터길 73,"요가,배드민턴,탁구",월요일:19:00~23:00 화요일:19:00~23:00  수요일:19:00~23:00  목요일:19:00~23:00  금요일:20:00~23:00   일요일:19:00~23:00,0,2,0,126.3560096,36.50942768
193,2017,경기도,안성시,초등학교,죽산초등학교,20170301~20171231,755.6㎥ /3개 코트,"경기도 안성시 죽산면 죽산초교길 39-7, 죽산초등학교","배드민턴,탁구",월요일:19:00~22:00 화요일:19:00~22:00  수요일:19:00~22:00  목요일:19:00~22:00  금요일:19:00~22:00  토요일:19:00~22:00  일요일:00:00~00:00,0,1,0,127.4202835,37.0775175
194,2017,경기도,안성시,중학교,서운중학교,20170301~20171231,583.5㎥ /3개 코트,"경기도 안성시 서운면 바우덕이로 25, 서운중학교","농구,배드민턴",월요일:18:30~22:00 화요일:18:30~22:00  수요일:18:30~22:00  목요일:18:30~22:00  금요일:18:30~22:00  토요일:00:00~00:00  일요일:13:00~16:00,1,1,1,127.2640856,36.94487143
195,2017,대구광역시,서구,초등학교,이현초등학교,20170301~20171231,1058㎥ /5개 코트,대구광역시 서구 국채보상로37길 35 (평리동),"배드민턴,체조",월요일:18:30~22:00 화요일:18:30~22:00  수요일:18:30~22:00  목요일:18:30~22:00  금요일:18:30~22:00  토요일:16:00~22:00,2,2,0,128.5503997,35.87348606
196,2017,대구광역시,달서구,초등학교,장기초등학교,20170301~20171231,992.6㎥ /3개 코트,"대구광역시 달서구 장기로 280, 장기초등학교 (장기동)","뉴스포츠**,농구",월요일:17:30~21:30 화요일:17:30~21:30  수요일:17:30~21:30  목요일:17:30~21:30  금요일:17:30~21:30  토요일:14:00~18:00  일요일:00:00~00:00,0,2,0,128.5290125,35.84439346
197,2017,전라남도,영광군,고등학교,영광공업고등학교,20170301~20171231,100㎥ /3개 코트,전라남도 영광군 영광읍 월현로 34,"배드민턴,탁구,태권도",월요일:18:00~22:00 화요일:18:00~22:00  수요일:18:00~22:00  목요일:18:00~22:00  금요일:18:00~22:00  토요일:18:00~22:00,1,2,2,126.5025856,35.27940226
198,2017,전라남도,곡성군,고등학교,한울고등학교,20170301~20171231,294㎥ /6개 코트,"전라남도 곡성군 목사동면 주목로 713, 한울고등학교","배드민턴,탁구",월요일:18:00~22:00 화요일:18:00~22:00  수요일:18:00~22:00  목요일:18:00~22:00  금요일:00:00~00:00  토요일:18:00~22:00  일요일:00:00~00:00,1,1,1,127.2980952,35.11735857
199,2017,경기도,부천시,중학교,덕산중학교,20170301~20171231,640㎥ /4개 코트,"경기도 부천시 성오로 203, 수영장2층 (오정동)","기타종목,댄스스포츠,배드민턴",월요일:19:00~22:00 화요일:19:00~22:00  수요일:19:00~22:00  목요일:19:00~22:00  금요일:19:00~22:00  토요일:14:00~21:00  일요일:10:00~18:00,0,2,0,126.7936183,37.52892504
200,2017,경기도,시흥시,초등학교,승지초등학교,20170316~20171231,595㎥ /1개 코트,경기도 시흥시 승지로 110 (능곡동),"필라테스,교정운동,체조",월요일:09:00~17:00 화요일:09:00~17:00  수요일:09:00~17:00  목요일:09:00~17:00  금요일:09:00~17:00  토요일:09:00~15:00,0,4,0,126.8127399,37.37238591
202,2017,경상남도,하동군,초등학교,하동초등학교,20170301~20171231,935.1㎥ /5개 코트,"경상남도 하동군 하동읍 남당길 47, 하동초등학교","요가,에어로빅,댄스스포츠,배구",월요일:16:00~20:00 화요일:16:00~20:00  수요일:16:00~20:00  목요일:16:00~20:00  금요일:16:00~20:00  토요일:14:00~19:00  일요일:00:00~00:00,1,2,1,127.7486117,35.06717219
205,2017,경기도,시흥시,고등학교,배곧고등학교,20170301~20171231,847.4㎥ /6개 코트,경기도 시흥시 배곧4로 94-10 (정왕동),"교정운동,탁구",월요일:14:00~22:00 화요일:14:00~22:00  수요일:17:00~22:00  목요일:17:00~22:00  금요일:14:00~22:00  토요일:13:00~19:00,2,4,2,126.73254,37.37409154
206,2017,경기도,시흥시,중학교,장곡중학교,20170301~20171231,313㎥ /1개 코트,경기도 시흥시 장곡로 10 (장곡동),"교정운동,검도",화요일:13:00~21:00  수요일:13:00~21:00  목요일:13:00~21:00  금요일:13:00~21:00  토요일:13:00~21:00,0,3,1,126.7876166,37.37983584
207,2017,경기도,시흥시,초등학교,대야초등학교,20170301~20171231,137.7㎥ /1개 코트,경기도 시흥시 대골안길 31 (대야동),"필라테스,댄스스포츠",월요일:11:00~18:00 화요일:11:00~18:00  수요일:11:00~18:00  목요일:11:00~18:00  금요일:11:00~18:00  토요일:10:00~15:00,0,3,0,126.7890667,37.44684163
208,2017,경상북도,경산시,초등학교,평산초등학교,20170101~20171231,10㎥ /1개 코트,"경상북도 경산시 솔숲길 47, 평산초등학교 체육관 (사동)","배구,배드민턴",월요일:18:00~22:00 화요일:18:00~22:00  수요일:18:00~22:00  목요일:18:00~22:00  금요일:18:00~22:00  토요일:14:00~18:00  일요일:00:00~00:00,0,2,0,128.7566426,35.80748551
209,2017,전라남도,영암군,중학교,전남영암중학교,20170301~20171231,1335㎥ /4개 코트,전라남도 영암군 영암읍 영암초중고길 32,"배구,배드민턴",월요일:17:00~21:00  수요일:17:00~21:00  목요일:17:00~21:00  금요일:17:00~21:00  토요일:13:00~21:00,1,1,1,126.6880458,34.79842158
211,2017,충청남도,서산시,중학교,서산부춘중학교,20170301~20171231,64315㎥ /4개 코트,"충청남도 서산시 부춘2로 42, (585-1) (읍내동)","배구,배드민턴",월요일:14:00~22:00 화요일:14:00~22:00  수요일:14:00~22:00  목요일:14:00~22:00  금요일:14:00~22:00  토요일:00:00~00:00  일요일:00:00~00:00,0,2,0,126.4435333,36.78615605
212,2017,경상남도,고성군,초등학교,하이초등학교,20170301~20171231,750.2㎥ /4개 코트,경상남도 고성군 하이면 남일로 423,"배구,배드민턴",월요일:13:30~21:30 화요일:13:30~21:30  수요일:13:30~21:30  목요일:13:30~21:30  금요일:13:30~21:30  토요일:09:00~21:30,1,3,1,128.1216328,34.92956593
214,2017,대구광역시,동구,초등학교,방촌초등학교,20170301~20171231,1073㎥ /6개 코트,대구광역시 동구 동촌로42길 35-14 (방촌동),탁구,월요일:10:00~19:00 화요일:10:00~19:00  수요일:10:00~19:00  목요일:10:00~19:00  금요일:10:00~19:00  토요일:09:00~13:00,2,2,2,128.6630617,35.88070613
215,2017,전라북도,전주시,초등학교,서곡초등학교,20170301~20171231,632㎥ /4개 코트,"전라북도 전주시 완산구 서곡7길 30, 서곡초등학교 (효자동3가)","요가,기타종목,배드민턴",월요일:13:30~16:30 화요일:13:30~16:30  수요일:13:30~16:30  목요일:13:30~16:30  금요일:13:30~16:30  토요일:09:00~12:00,1,1,1,127.100895,35.83306061
217,2017,전라남도,여수시,초등학교,여수 서초등학교,20170304~20171231,782㎥ /4개 코트,"전라남도 여수시 서교1길 29, 서초등학교 (서교동)","배구,배드민턴",월요일:00:00~00:00 화요일:17:00~22:00  수요일:17:00~22:00  목요일:17:00~22:00  금요일:17:00~22:00  토요일:17:00~22:00  일요일:00:00~00:00,2,2,2,127.7249875,34.7407915
218,2017,전라북도,진안군,중학교,부귀중학교,20170301~20171231,840.7㎥ /1개 코트,"전라북도 진안군 부귀면 상거석길 14-7, 부귀중학교","요가,농구,배구,배드민턴",월요일:18:00~22:00 화요일:18:00~22:00   목요일:18:00~22:00  금요일:19:00~22:00  토요일:09:00~12:00,2,2,2,127.366163,35.84026846
219,2017,전라남도,광양시,중학교,광양중학교,20170101~20180101,1477㎥ /4개 코트,"전라남도 광양시 광양읍 신재로 90, 광양중학교","기타종목,배구,배드민턴,탁구",월요일:15:30~22:00 화요일:15:30~22:00  수요일:16:30~22:00  목요일:15:30~22:00  금요일:15:30~22:00  토요일:13:00~18:00  일요일:00:00~00:00,1,1,1,127.5908687,34.97967879
220,2017,전라남도,광양시,초등학교,광양서초등학교,20170101~20171231,878㎥ /3개 코트,"전라남도 광양시 광양읍 숲샘길 29, 광양서초등학교","족구,풋살,배구",월요일:15:30~22:00 화요일:15:30~22:00  수요일:15:30~22:00  목요일:15:30~22:00  금요일:15:30~22:00  토요일:13:00~17:00  일요일:00:00~00:00,1,1,1,127.5834772,34.97111663
221,2017,전라남도,영암군,초등학교,삼호중앙초등학교,20170301~20171231,1.476㎥ /5개 코트,전라남도 영암군 영암읍 여운재로 33,"배구,배드민턴",월요일:17:00~21:00  수요일:17:00~21:00  목요일:17:00~21:00  금요일:17:00~21:00  토요일:13:00~21:00,1,1,1,126.7031448,34.8053526
222,2017,충청남도,아산시,초등학교,용화초등학교,20170523~20171231,794㎥ /1개 코트,"충청남도 아산시 시민로258번길 3-8, 용화초등학교 (용화동)","기타종목,배드민턴",월요일:17:30~21:30 화요일:17:30~21:30  수요일:17:30~21:30  목요일:17:30~21:30  금요일:17:30~21:30  토요일:10:00~13:00,0,2,0,126.9963725,36.77311778
223,2017,부산광역시,영등포구,초등학교,aa,20170620~20170621,11㎥ /11개 코트,"서울특별시 영등포구 양평로 2, ㄴㅇㄹㄴ (당산동6가)","댄스스포츠,육상",,2,0,0,126.9057654,37.53224732
228,2017,전라남도,장흥군,중학교,회덕중학교,20180301~20181231,769㎥ /4개 코트,"전라남도 장흥군 회진면 가학회진로 1519, 회덕중학교","배구,배드민턴",월요일:18:30~22:00 화요일:18:30~22:00  수요일:18:30~22:00  목요일:18:30~22:00  금요일:18:30~22:00  토요일:10:00~13:00,1,1,1,126.9358307,34.4772745
230,2017,경상북도,의성군,초등학교,도리원초등학교,20180301~20181231,0㎥ /3개 코트,경상북도 의성군 봉양면 도리원5길 9,"배구,배드민턴",,2,2,2,128.5785417,36.3004168
232,2017,강원도,인제군,중학교,인제중학교,20170301~20171231,100㎥ /6개 코트,"강원도 인제군 인제읍 인제로231번길 12, 인제중학교",배드민턴,월요일:19:00~22:00 화요일:19:00~22:00  수요일:19:00~22:00  목요일:19:00~22:00  금요일:19:00~22:00  토요일:19:00~22:00  일요일:19:00~22:00,1,1,1,128.1750138,38.0729742
234,2018,세종특별자치시,세종특별자치시,초등학교,연동초등학교(취소),20180307~20181231,372㎥ /1개 코트,"세종특별자치시 연동면 청연로 606-36, 연동초등학교",배구,월요일:14:00~22:00 화요일:12:00~20:00  수요일:12:00~20:00  목요일:12:00~20:00  금요일:12:00~18:00  토요일:09:00~17:00,0,2,0,127.3250124,36.5583171
253,2018,전라북도,장수군,중학교,장수중학교,20180301~20181231,889㎥ /4개 코트,"전라북도 장수군 장수읍 호비로 68, 장수중학교","뉴스포츠**,배드민턴",월요일:19:00~22:00 화요일:19:00~22:00  수요일:19:00~22:00  목요일:19:00~22:00  금요일:19:00~22:00   일요일:19:00~22:00,2,2,2,127.5207329,35.65352077
275,2018,전라남도,곡성군,초등학교,고달초등학교,20180301~20181231,807㎥ /3개 코트,전라남도 곡성군 곡성읍 곡성로 855,"배드민턴,탁구",월요일:18:00~22:00 화요일:18:00~22:00  수요일:18:00~22:00  목요일:18:00~22:00  금요일:18:00~22:00  토요일:18:00~22:00,1,2,1,127.2981776,35.28142419
277,2018,인천광역시,부평구,중학교,부일중학교,20180301~20181231,2222㎥ /4개 코트,인천광역시 부평구 영성로 3 (삼산동),배드민턴,월요일:19:00~22:00 화요일:19:00~22:00  수요일:19:00~22:00  목요일:19:00~22:00   토요일:14:00~18:00,0,1,0,126.7405339,37.52074703
281,2018,경상남도,하동군,초등학교,적량초등학교,20180301~20181231,734.6㎥ /4개 코트,"경상남도 하동군 적량면 금강길 16, 적량초등학교",탁구,월요일:15:00~22:00 화요일:15:00~22:00  수요일:15:00~22:00  목요일:15:00~22:00  금요일:15:00~22:00  토요일:00:00~00:00  일요일:18:00~22:00,1,2,2,127.7735235,35.08576662
285,2018,경기도,부천시,중학교,옥길중학교,20180301~20181231,81.74㎥ /3개 코트,"경기도 부천시 양지로 234-41, 옥길중학교 (옥길동)",배드민턴,월요일:19:00~22:00 화요일:19:00~22:00  수요일:19:00~22:00  목요일:19:00~22:00  금요일:19:00~22:00  토요일:14:00~21:00  일요일:10:00~18:00,2,2,2,126.8266497,37.4638567
295,2018,울산광역시,중구,초등학교,다운초등학교,20180301~20181231,795㎥ /4개 코트,울산광역시 중구 다운8길 5 (다운동),"기타종목,배드민턴",월요일:19:30~22:00 화요일:18:00~22:00  수요일:19:30~22:00  목요일:18:00~22:00  금요일:19:30~22:00  토요일:19:30~22:00,1,2,1,129.2670076,35.56180152
298,2018,전라남도,영암군,초등학교,삼호중앙초등학교,20180301~20181231,1.470㎥ /4개 코트,"전라남도 영암군 삼호읍 중앙촌길 35, 삼호중앙초등학교","배구,배드민턴",월요일:17:00~22:00 화요일:00:00~00:00  수요일:17:00~22:00  목요일:17:00~22:00  금요일:17:00~22:00  토요일:13:00~21:00  일요일:00:00~00:00,1,2,0,126.4700099,34.74745202
306,2018,제주특별자치도,제주시,초등학교,제주북초등학교,20180301~20181231,601㎥ /4개 코트,"제주특별자치도 제주시 동문로 169, 사라봉다목적체육관 (건입동)","배드민턴,탁구",월요일:18:00~22:00 화요일:18:00~22:00  수요일:18:00~22:00  목요일:18:00~22:00  금요일:18:00~22:00  토요일:17:00~22:00  일요일:17:00~22:00,0,2,0,126.544423,33.51370045
341,2018,전라북도,남원시,초등학교,남원용성초등학교,20180301~20181231,991㎥ /1개 코트,전라북도 남원시 용성로 29 (동충동),"족구,줄넘기,배구",월요일:19:30~22:30 화요일:19:30~22:30  수요일:19:30~22:30  목요일:19:30~22:30  금요일:19:30~22:30  토요일:09:00~13:00,1,2,1,127.3798565,35.40936565
368,2018,울산광역시,울주군,중학교,웅촌중학교,20180301~20181231,737㎥ /4개 코트,"울산광역시 울주군 웅촌면 새초천길 13, 웅촌중학교","줄넘기,배드민턴",월요일:18:00~22:00 화요일:19:00~21:00  수요일:18:00~22:00  목요일:18:00~22:00  금요일:19:00~21:00  토요일:19:00~21:00  일요일:00:00~00:00,2,2,2,129.208453,35.46243545
369,2018,전라남도,영광군,초등학교,영광초등학교,20180301~20181231,1457㎥ /1개 코트,전라남도 영광군 영광읍 중앙로 216-7,"배드민턴,태권도",월요일:14:00~22:00 화요일:14:00~22:00  수요일:16:00~22:00  목요일:14:00~22:00  금요일:16:00~22:00  토요일:18:00~22:00,0,1,0,126.5134871,35.27893779
370,2018,경기도,시흥시,초등학교,군서초등학교,20180401~20181231,842.8㎥ /3개 코트,"경기도 시흥시 정왕천로 427, 30 군서초등학교 (정왕동)","교정운동,배드민턴",월요일:16:00~20:00 화요일:16:00~20:00  수요일:16:00~20:00  목요일:16:00~19:00  금요일:16:00~20:00  토요일:09:00~13:00  일요일:00:00~00:00,2,3,2,126.7531358,37.34565095
372,2018,전라남도,장흥군,초등학교,부산초등학교,20180301~20181231,680㎥ /4개 코트,전라남도 장흥군 부산면 부유로 25-16,"배구,배드민턴",월요일:18:30~22:30 화요일:18:30~22:30  수요일:18:30~22:30  목요일:18:30~22:30  금요일:18:30~22:30  토요일:18:30~22:30,1,1,1,126.9012723,34.72291091
376,2018,울산광역시,중구,초등학교,언양초등학교,20180301~20181231,711㎥ /4개 코트,울산광역시 중구 염포로 55 (남외동),"배구,배드민턴",월요일:19:00~22:00 화요일:19:00~22:00  수요일:19:00~22:00  목요일:19:00~22:00  금요일:19:00~22:00  토요일:19:00~22:00,1,2,1,129.3481434,35.5623241
380,2018,전라남도,목포시,초등학교,목포삼학초등학교,20180301~20181231,11090㎥ /5개 코트,"전라남도 목포시 남해로39번길 8, 목포삼학초등학교 (산정동)","기타종목,배구,배드민턴",월요일:17:30~22:00 화요일:17:30~22:00  수요일:17:30~22:00  목요일:17:30~22:00  금요일:17:30~22:00  토요일:13:00~17:30,1,2,1,126.4012493,34.79092494
387,2018,경기도,시흥시,초등학교,배곧한울초등학교,20180301~20181231,710㎥ /0개 코트,"경기도 시흥시 배곧1로 28-25, 배곧한울초등학교 (정왕동)","요가,에어로빅,필라테스,체조",월요일:10:30~18:00 화요일:10:30~18:30  수요일:10:30~18:00  목요일:10:30~18:00  금요일:10:30~18:00  토요일:14:00~16:00,1,1,0,126.7126955,37.36053731
390,2018,경기도,화성시,중학교,청림중학교,20180801~20181231,765㎥ /1개 코트,"경기도 화성시 동탄산척로 94, 청림중학교 (산척동)","농구,배구,탁구",월요일:00:00~00:00 화요일:17:00~22:00  수요일:18:00~22:00  목요일:17:00~22:00  금요일:00:00~00:00  토요일:09:00~13:00  일요일:00:00~00:00,0,2,2,127.111399,37.1718143
