,BASE_YEAR,ALSFC_CTPRVN_NM,ALSFC_SIGNGU_NM,SCHUL_TY_NM,SCHUL_NM,OPN_PD,ARBY_COT_CO_VALUE,ALSFC_ADDR,OPER_ITEM_CN,OPER_TIME_CN,SHWERRM_CO,TOILET_CO,LOCKERRM_CO,x,y
71,2017,강원도,철원군,초등학교,용정초등학교,20170301~20171231,237㎥ /1개 코트,"강원도 철원군 동송읍 상노2길 11, 용정초등학교","배드민턴,탁구",월요일:19:00~22:00 화요일:13:00~22:00  수요일:13:00~22:00  목요일:13:00~22:00  금요일:13:00~22:00  토요일:14:00~18:00  일요일:14:00~18:00,0,1,0,127.2414613,38.16317388
72,2017,강원도,철원군,초등학교,와수초등학교,20170301~20171231,511㎥ /1개 코트,"강원도 철원군 서면 와수로 119, 와수초등학교","줄넘기,요가,에어로빅,배드민턴",월요일:12:00~21:00 화요일:12:00~21:00  수요일:12:00~21:00  목요일:12:00~21:00  금요일:17:00~21:00  토요일:17:00~21:00  일요일:00:00~00:00,0,2,0,127.4351403,38.23572405
73,2017,부산광역시,금정구,고등학교,브니엘고등학교,20170101~20171231,12㎥ /1개 코트,부산광역시 금정구 체육공원로 154 (구서동),"체조,탁구",월요일:00:30~00:30 화요일:01:00~01:30  수요일:01:30~02:00  목요일:02:00~02:00  금요일:01:30~02:30  토요일:01:30~02:00  일요일:02:00~01:30,1,1,1,129.1039264,35.25485306
74,2017,서울특별시,영등포구,초등학교,학교명,20170601~20170619,11㎥ /11개 코트,"서울특별시 영등포구 양평로21가길 19, 404호 (양평동5가)",탁구,,0,0,0,126.8915111,37.53815844
75,2017,강원도,철원군,초등학교,청양초등학교,20170630~20171231,737㎥ /3개 코트,"강원도 철원군 김화읍 청양로 381-19, 청양초등학교","배드민턴,체조",월요일:13:00~22:00 화요일:13:00~22:00  수요일:13:00~22:00  목요일:13:00~22:00  금요일:19:00~22:00  토요일:13:00~17:00  일요일:13:00~17:00,0,2,0,127.3772914,38.24533278
76,2017,강원도,철원군,초등학교,신철원초등학교,20170301~20171231,920㎥ /4개 코트,"강원도 철원군 갈말읍 명성로139번안길 45, 신철원초등학교","뉴스포츠**,족구,줄넘기,배드민턴",월요일:13:00~22:00 화요일:13:00~22:00  수요일:13:00~22:00  목요일:13:00~22:00  금요일:19:00~22:00  토요일:18:00~22:00  일요일:18:00~22:00,2,2,0,127.3055544,38.14752189
77,2017,전라북도,순창군,고등학교,순창제일고등학교,20170301~20171231,652.5㎥ /6개 코트,"전라북도 순창군 순창읍 담순로 1411, 순창제일고등학교","풋살,배드민턴",월요일:19:00~23:00 화요일:19:00~23:00  수요일:19:00~23:00  목요일:19:00~23:00  금요일:19:00~23:00  토요일:19:00~23:00,1,1,0,127.1514258,35.37892974
80,2017,전라북도,익산시,고등학교,함열고등학교,20170301~20171231,1393㎥ /1개 코트,전라북도 익산시 함열읍 와리3길 19-3,"족구,농구,배드민턴",월요일:16:00~22:00 화요일:16:00~22:00  수요일:16:00~22:00  목요일:16:00~22:00  금요일:16:00~22:00  토요일:10:00~18:00,1,1,1,126.9590238,36.0826251
81,2017,제주특별자치도,서귀포시,초등학교,대정초등학교,20170301~20171231,932㎥ /4개 코트,"제주특별자치도 서귀포시 대정읍 상모대서로 15, 대정초등학교","족구,에어로빅",월요일:18:00~22:00 화요일:18:00~22:00  수요일:18:00~22:00  목요일:18:00~22:00  금요일:18:00~22:00  토요일:18:00~22:00  일요일:00:00~00:00,1,2,1,126.2553861,33.224489
82,2017,경상북도,안동시,초등학교,영호초등학교,20170301~20171230,589㎥ /4개 코트,"경상북도 안동시 옥서4길 8, 체육관 (옥동)","피구,배구,배드민턴",월요일:18:00~22:00 화요일:18:00~22:00  수요일:18:00~22:00  목요일:18:00~22:00  금요일:18:00~22:00  토요일:09:00~14:00,0,1,0,128.6917948,36.56044654
85,2017,충청북도,충주시,고등학교,대원고등학교,20170301~20171231,1098㎥ /4개 코트,충청북도 충주시 안림로 43 (안림동),"배구,배드민턴",월요일:15:00~22:00 화요일:15:00~22:00  수요일:15:00~22:00  목요일:15:00~22:00  금요일:15:00~22:00  토요일:09:00~14:00,0,1,1,127.951823,36.97133328
86,2017,전라남도,장흥군,중학교,장흥여자중학교,20180301~20181231,715㎥ /4개 코트,"전라남도 장흥군 장흥읍 못골길 1, 장흥여자중학교","배구,배드민턴",월요일:19:00~22:00 화요일:19:00~22:00  수요일:19:00~22:00  목요일:19:00~22:00  금요일:19:00~22:00  토요일:19:00~22:00  일요일:00:00~00:00,0,2,0,126.9121091,34.68260198
87,2017,충청북도,옥천군,초등학교,장야초등학교,20170301~20171231,823.6㎥ /4개 코트,충청북도 옥천군 옥천읍 장야3길 25,"배드민턴,탁구",월요일:18:30~22:30 화요일:18:30~22:30  수요일:18:30~22:30  목요일:18:30~22:30  금요일:18:30~22:30  토요일:18:30~22:30  일요일:18:30~22:30,2,2,2,127.5800442,36.29703588
89,2017,충청북도,충주시,초등학교,대림초등학교,20170301~20171231,963㎥ /3개 코트,충청북도 충주시 대림1길 28 (문화동),"배구,배드민턴",월요일:15:00~22:00 화요일:15:00~22:00  수요일:15:00~22:00  목요일:15:00~22:00  금요일:15:00~22:00  토요일:13:00~18:00,0,1,1,127.9180439,36.96913058
90,2017,전라북도,전주시,초등학교,전주서문초등학교,20170301~20171231,743㎥ /4개 코트,"전라북도 전주시 완산구 서신천변11길 19, 서문초등학교 (서신동)","요가,필라테스,배구,배드민턴",월요일:16:00~18:00 화요일:15:30~19:30  수요일:16:00~18:00  목요일:15:30~19:30  금요일:16:00~18:00  토요일:13:00~17:00  일요일:00:00~00:00,0,1,0,127.1119664,35.82981763
91,2017,충청북도,충주시,초등학교,금릉초등학교,20170301~20171231,927㎥ /4개 코트,충청북도 충주시 금봉대로 792 (금릉동),"배구,배드민턴",월요일:15:00~22:00 화요일:15:00~22:00  수요일:15:00~22:00  목요일:15:00~22:00  금요일:15:00~22:00  토요일:17:00~22:00,0,1,0,127.9304338,36.99439631
92,2017,경상북도,영주시,고등학교,영주 영광고등학교,20170301~20171231,1388㎥ /1개 코트,"경상북도 영주시 의상로 62, 상망동 (상망동)","농구,배구",월요일:18:00~22:00 화요일:18:00~22:00   목요일:18:00~22:00  금요일:18:00~22:00  토요일:14:00~22:00,1,2,1,128.6432161,36.84190407
96,2017,울산광역시,울주군,고등학교,울산기술공업고등학교,20170320~20171231,1689㎥ /6개 코트,"울산광역시 울주군 온산읍 덕망로 54, 1층","댄스스포츠,배드민턴",월요일:19:00~22:00 화요일:19:00~22:00  수요일:19:00~22:00  목요일:19:00~22:00  금요일:19:00~22:00  토요일:19:00~22:00,2,1,2,129.3080281,35.43890349
97,2017,전라북도,고창군,초등학교,고창초등학교,20170301~20171231,888㎥ /4개 코트,"전라북도 고창군 고창읍 중앙로 259, 고창초등학교","배구,배드민턴",화요일:18:00~22:00  수요일:19:00~21:00  목요일:18:00~22:00  금요일:18:00~22:00  토요일:07:00~13:00,2,2,2,126.7033254,35.43636437
99,2017,전라북도,장수군,초등학교,산서초등학교,20170301~20171231,734㎥ /4개 코트,"전라북도 장수군 산서면 동백로 7, 영대관","배드민턴,탁구",월요일:17:00~22:00 화요일:17:00~22:00  수요일:17:00~22:00  목요일:17:00~22:00  금요일:17:00~22:00   일요일:17:00~22:00,2,2,2,127.3952869,35.58783586
100,2017,강원도,태백시,초등학교,함태초등학교,20170301~20171231,445.6㎥ /3개 코트,강원도 태백시 소도길 69 (소도동),"뉴스포츠**,기타종목,배드민턴",월요일:14:00~22:00 화요일:14:00~22:00  수요일:14:00~22:00  목요일:14:00~22:00  금요일:14:00~22:00  토요일:10:00~19:00  일요일:10:00~19:00,0,2,1,128.9767987,37.13878971
101,2017,강원도,철원군,고등학교,김화공업고등학교,20170301~20171231,1077㎥ /1개 코트,"강원도 철원군 서면 와수1로 72, 김화공업고등학교","뉴스포츠**,족구,농구,배드민턴",월요일:19:00~20:30 화요일:11:30~20:30  수요일:11:30~20:30  목요일:11:30~20:30  금요일:11:30~20:30  토요일:09:00~13:00  일요일:09:00~13:00,2,2,2,127.4349423,38.24340566
102,2017,강원도,철원군,고등학교,김화고등학교,20170301~20171231,1716㎥ /4개 코트,"강원도 철원군 서면 와수1로 90, 김화고등학교","농구,배구,배드민턴,탁구",월요일:13:00~22:00 화요일:13:00~22:00  수요일:19:00~22:00  목요일:13:00~22:00  금요일:13:00~22:00  토요일:09:00~13:00  일요일:09:00~13:00,1,2,2,127.4333715,38.24404443
103,2017,경상남도,사천시,고등학교,삼천포여자고등학교중학교,20170301~20171231,783.4㎥ /7개 코트,경상남도 사천시 삼상로 19 (동금동),"기타종목,농구,탁구",월요일:18:00~22:00 화요일:14:00~15:00  수요일:00:00~00:00  목요일:15:00~22:00  금요일:18:00~22:00  토요일:13:00~17:00,2,2,2,128.077701,34.93454536
104,2017,경기도,화성시,초등학교,동탄중앙초등학교,20170301~20171231,564㎥ /1개 코트,"경기도 화성시 동탄대로시범길 117, 동탄중앙초등학교 (청계동)","농구,배구",월요일:17:00~19:00 화요일:17:00~19:00  수요일:17:00~19:00  목요일:17:00~19:00  금요일:17:00~19:00  토요일:14:00~18:00  일요일:12:00~16:00,0,1,0,127.1112669,37.19928404
105,2017,전라북도,익산시,초등학교,북일초등학교,20170301~20171231,658.6㎥ /4개 코트,전라북도 익산시 동서로19길 100 (신동),"족구,피구,기타종목,배구,배드민턴,탁구",월요일:15:00~22:00 화요일:15:00~22:00  수요일:15:00~22:00  목요일:15:00~22:00  금요일:15:00~22:00  토요일:09:00~13:00,0,1,1,126.9592222,35.96279623
106,2017,제주특별자치도,서귀포시,초등학교,동남초등학교,20170301~20171231,610㎥ /4개 코트,"제주특별자치도 서귀포시 성산읍 고성오조로 55, 동남초등학교",배드민턴,월요일:18:00~22:00 화요일:18:00~22:00  수요일:18:00~22:00  목요일:18:00~22:00  금요일:00:00~00:00  토요일:18:00~22:00  일요일:18:00~22:00,1,2,1,126.9140525,33.4493879
107,2017,제주특별자치도,서귀포시,중학교,대정중학교,20170301~20171231,1241㎥ /4개 코트,"제주특별자치도 서귀포시 대정읍 비행장로 18, 대정중학교","풋살,농구,배드민턴",월요일:18:00~22:00 화요일:18:00~22:00  수요일:18:00~22:00  목요일:18:00~22:00  금요일:18:00~22:00  토요일:18:00~22:00  일요일:00:00~00:00,1,2,1,126.2532327,33.21996162
108,2017,경상북도,의성군,초등학교,의성초등학교,20170301~20171231,1.000㎥ /1개 코트,"경상북도 의성군 의성읍 군청길 26, 의성초등학교","족구,풋살,피구,배구,배드민턴",월요일:13:00~21:00 화요일:13:00~21:00  수요일:17:00~21:00  목요일:13:00~21:00  금요일:13:00~21:00  토요일:09:00~13:00  일요일:00:00~00:00,2,2,2,128.69519,36.35158989
109,2017,경기도,시흥시,중학교,송운중학교,20170301~20171231,1602㎥ /5개 코트,경기도 시흥시 옥구천동로 433-11 (정왕동),"농구,배드민턴",월요일:12:30~19:30 화요일:12:30~19:30  수요일:12:30~19:30  목요일:12:30~19:30  금요일:12:30~19:30  토요일:09:00~14:00,0,3,0,126.731408,37.35941067
110,2017,경상북도,의성군,고등학교,안계고등학교,20170301~20171231,1700㎥ /1개 코트,"경상북도 의성군 안계면 용기9길 9, 안계고등학교","농구,배구,배드민턴,탁구",월요일:13:00~21:00 화요일:13:00~21:00  수요일:17:00~21:00  목요일:13:00~21:00  금요일:13:00~21:00  토요일:08:00~12:00  일요일:00:00~00:00,0,2,0,128.4339093,36.38334291
111,2017,경상북도,안동시,초등학교,영가초등학교,20170301~20171230,903㎥ /5개 코트,"경상북도 안동시 서경지8길 2, 영가초등학교 체육관 (태화동)","피구,농구,배구",월요일:18:00~22:00 화요일:18:00~22:00  수요일:18:00~22:00  목요일:18:00~22:00  금요일:18:00~22:00  토요일:09:00~14:00,0,1,1,128.7160395,36.56311031
112,2017,충청남도,청양군,초등학교,정산초등학교,20170302~20171231,1563.㎥ /4개 코트,충청남도 청양군 정산면 칠갑산로 1863,"배구,배드민턴",월요일:19:00~22:00 화요일:19:00~22:00  수요일:19:00~22:00  목요일:19:00~22:00  금요일:19:00~22:00  토요일:19:00~22:00  일요일:19:00~22:00,0,2,0,126.9463888,36.41592486
113,2017,전라남도,목포시,중학교,목포제일중학교,20170301~20171231,1425㎥ /5개 코트,"전라남도 목포시 삼학로 277, 목포제일중학교 (용해동)","기타종목,배드민턴",월요일:19:00~22:00 화요일:19:00~22:00  수요일:19:00~22:00  목요일:19:00~22:00  금요일:19:00~22:00  토요일:19:00~22:00  일요일:16:00~19:00,2,2,2,126.4069043,34.79617893
114,2017,충청남도,서산시,중학교,서령중학교,20170101~20171231,2608㎥ /1개 코트,"충청남도 서산시 서령로 117, 서령중학교 (동문동)","배구,탁구",월요일:19:00~22:00 화요일:19:00~22:00  수요일:19:00~22:00  목요일:19:00~22:00  금요일:19:00~22:00  토요일:09:00~11:00  일요일:16:00~19:00,1,2,1,126.4582768,36.79247551
115,2017,전라남도,강진군,초등학교,강진중앙초등학교,20170301~20171231,1209㎥ /2개 코트,전라남도 강진군 강진읍 중앙로 74,"배구,체조",월요일:19:00~23:00 화요일:19:00~23:00  수요일:19:00~23:00  목요일:19:00~23:00  금요일:19:00~23:00  토요일:13:00~18:00,0,2,0,126.7668408,34.63710067
116,2017,전라남도,강진군,초등학교,강진동초등학교,20170301~20171231,963㎥ /5개 코트,전라남도 강진군 강진읍 중앙로 180,"배구,배드민턴,체조",월요일:18:00~22:00 화요일:18:00~22:00  수요일:18:00~22:00  목요일:18:00~22:00  금요일:18:00~22:00  토요일:18:00~22:00  일요일:18:00~22:00,0,2,0,126.7762172,34.6411847
117,2017,충청북도,제천시,초등학교,화산초등학교,20170301~20171231,905㎥ /1개 코트,충청북도 제천시 내토로41길 18 (화산동),"농구,배구,배드민턴",월요일:18:00~22:00 화요일:18:00~22:00  수요일:18:00~22:00  목요일:18:00~22:00  금요일:18:00~22:00  토요일:14:00~18:00  일요일:00:00~00:00,0,2,1,128.2134631,37.12986957
118,2017,제주특별자치도,제주시,초등학교,제주북초등학교,20170301~20171231,700㎥ /4개 코트,"제주특별자치도 제주시 중앙로8길 18, 제주북초등학교 (삼도이동)","배드민턴,탁구",월요일:18:00~23:00 화요일:18:00~23:00  수요일:18:00~23:00  목요일:18:00~23:00  금요일:18:00~23:00  토요일:15:00~23:00  일요일:15:00~23:00,2,2,2,126.5213837,33.51499283
119,2017,대전광역시,서구,고등학교,용문산업정보고등학교,20170301~20171231,100㎥ /5개 코트,"대전광역시 서구 괴정로 191, 용문산업정보고등학교 (용문동)","배드민턴,체조,탁구",월요일:16:00~22:00 화요일:16:00~22:00  수요일:16:00~22:00  목요일:16:00~22:00  금요일:16:00~22:00  토요일:09:00~18:00,0,2,2,127.3925801,36.33320131
120,2017,경상북도,성주군,중학교,성주중학교,20170302~20171231,1.171㎥ /6개 코트,경상북도 성주군 성주읍 주천로 15-18,"기타종목,배구,배드민턴,탁구",화요일:18:00~22:00  수요일:18:00~22:00  목요일:18:00~22:00  금요일:18:00~22:00  토요일:13:00~18:00,2,2,0,128.2834315,35.92783552
121,2017,전라북도,익산시,중학교,원광중학교,20170301~20171231,810㎥ /1개 코트,"전라북도 익산시 무왕로31길 154, 원광중학교 (부송동)","배구,배드민턴,탁구",월요일:16:30~22:00 화요일:16:30~22:00  수요일:16:30~22:00  목요일:16:30~22:00  금요일:16:30~22:00  토요일:09:00~12:00  일요일:00:00~00:00,1,1,0,127.0013697,35.97389416
123,2017,전라남도,곡성군,초등학교,고달초등학교,20170301~20171231,660㎥ /3개 코트,"전라남도 곡성군 고달면 곡고로 424, 고달초등학교","댄스스포츠,배드민턴",월요일:18:00~22:00 화요일:18:00~22:00  수요일:18:00~22:00  목요일:18:00~22:00  금요일:00:00~00:00  토요일:18:00~22:00  일요일:00:00~00:00,1,1,1,127.3419686,35.29677442
124,2017,전라남도,나주시,초등학교,산포초등학교,20180301~20181231,1050㎥ /4개 코트,"전라남도 나주시 산포면 산포로 400, 산포초등학교","뉴스포츠**,배드민턴",월요일:19:00~22:30 화요일:19:00~22:30  수요일:19:00~22:30  목요일:19:00~22:30  금요일:19:00~22:30  토요일:19:00~22:30,0,2,0,126.8061216,35.03344695
