FCLTY_NM,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,RPRSNTV_TEL_NO,RDNMADR_CD,FCLTY_ROAD_NM_ADDR,FCLTY_CRDNT_LO,FCLTY_CRDNT_LA,GID_CD
(유)라온볼링센터,52,전북,52110,전주시,632722500,5.21133E+11,전라북도 전주시 덕진구 매봉로 40지하1층(금암동),127.1418482,35.8418021,다마676606
(유)육탑스포츠,29,광주,29170,북구,622630060,2.91703E+11,광주광역시 북구 설죽로 3943층 육탑스포츠(삼각동),126.9001754,35.1943992,다라453889
(유)풍산-군산AMF볼링경기장,52,전북,52130,군산시,24667300,5.21303E+11,전라북도 군산시 공단대로 197(수송동22-4)(수송동),126.7197794,35.9589808,다마296738
(재)부산광역시사회체육센터,26,부산,26350,해운대구,517441181,2.63503E+11,부산광역시 해운대구 APEC로 68(우동),129.1376836,35.167448,마라491870
(주) 슈퍼키즈스윔,51,강원,51130,원주시,337357970,5.11304E+11,"강원특별자치도 원주시 백간길 25(단계동, SG프라자 지하1층 슈퍼키즈스윔)(단계동)",127.9263005,37.3520827,라사377282
(주) 스트르라이크볼링,50,제주,50110,제주시,647581111,5.01103E+11,제주특별자치도 제주시 남광로 10스트라이크 볼링장(이도이동),126.5376007,33.4922914,다다105004
(주) 스포니스마곡점,11,서울,11500,강서구,226685988,1.15003E+11,서울특별시 강서구 마곡중앙6로 11지하1층 스포니스 마곡점(마곡동),126.8288424,37.560948,다사407515
(주) 아이엠스포츠,41,경기,41390,시흥시,313152288,4.13903E+11,"경기도 시흥시 장현능곡로 155311, 411호(능곡동)",126.8073771,37.3710435,다사386304
(주) 플러스파인,11,서울,11410,서대문구,264480480,1.14103E+11,서울특별시 서대문구 신촌역로 17203호(대현동),126.9424355,37.5582853,다사507511
(주)HSSA 서울한영대점,11,서울,11530,구로구,220606046,1.15303E+11,서울특별시 구로구 경인로 290-42대학본부 1층(개봉동),126.8515463,37.4964113,다사426443
(주)경상북도 올림푸스짐,47,경북,47820,청도군,543724041,4.78205E+11,경상북도 청도군 이서면 학산2길 68행복빌1층,128.66791,35.6635863,마마057414
(주)공감어울림,41,경기,41450,하남시,27944797,4.14503E+11,경기도 하남시 신장로 198201호(덕풍동),127.199357,37.5428209,다사734493
(주)궁평캠프,41,경기,41590,화성시,7088281111,4.15903E+11,경기도 화성시 서신면 궁평항로 12061,126.6926764,37.1262521,다사282033
(주)꿈자라다,41,경기,41130,성남시,317191441,4.11353E+11,경기도 성남시 분당구 야탑로 32삼부빌딜 4층(야탑동),127.1226151,37.4087827,다사666344
(주)다비드짐,26,부산,26320,북구,519882114,2.63204E+11,부산광역시 북구 덕천로281번길 122층 다비드짐(만덕동),129.0350988,35.2101945,마라397916
(주)다울푸른도장,26,부산,26320,북구,513621249,2.63203E+11,부산광역시 북구 효열로 39401호(금곡동),129.0143965,35.2495472,마라377959
(주)더스포울산진장지점,31,울산,31200,북구,,3.12004E+11,울산광역시 북구 진장17길 10신선도원몰 3층 잇츠짐(진장동),129.3564495,35.5624072,마마682311
(주)도담발달지원센터,43,충북,43110,청주시,,4.31135E+11,충청북도 청주시 흥덕구 덕암로35번길 711층 도담발달지원센터(봉명동),127.4579533,36.6563223,다바962509
(주)디에스그룹 달서복싱 대곡점,27,대구,27710,달성군,532447362,2.77103E+11,대구광역시 달성군 화원읍 비슬로 2707-14층 달서복싱,128.5112849,35.8091925,라마913574
(주)루트컴퍼니 <펀펀짐 유소년스포츠센터 연제점>,26,부산,26470,연제구,518686115,2.64703E+11,부산광역시 연제구 월드컵대로 54힐링메디파크4층 펀펀짐(연산동),129.084852,35.1793942,마라443882
(주)마린앤키즈스포츠,41,경기,41150,의정부시,318235566,4.11504E+11,경기도 의정부시 회룡로105번길 15서왕프라자 B2(호원동)(호원동),127.0453014,37.7265321,다사599697
